dayofweek,beat,district,primary_type,count,average
Friday,0111,01,ARSON,1,0.00011690437222352116
Friday,0111,01,ASSAULT,240,0.028057049333645077
Friday,0111,01,BATTERY,419,0.04898293196165537
Friday,0111,01,BURGLARY,78,0.00911854103343465
Friday,0111,01,CRIM SEXUAL ASSAULT,9,0.0010521393500116905
Friday,0111,01,CRIMINAL DAMAGE,263,0.030745849894786063
Friday,0111,01,CRIMINAL SEXUAL ASSAULT,8,0.0009352349777881693
Friday,0111,01,CRIMINAL TRESPASS,213,0.024900631283610006
Friday,0111,01,DECEPTIVE PRACTICE,615,0.07189618891746552
Friday,0111,01,GAMBLING,1,0.00011690437222352116
Friday,0111,01,HOMICIDE,4,0.00046761748889408465
Friday,0111,01,INTERFERENCE WITH PUBLIC OFFICER,9,0.0010521393500116905
Friday,0111,01,INTIMIDATION,6,0.0007014262333411269
Friday,0111,01,KIDNAPPING,5,0.0005845218611176058
Friday,0111,01,LIQUOR LAW VIOLATION,7,0.0008183306055646482
Friday,0111,01,MOTOR VEHICLE THEFT,107,0.012508767827916763
Friday,0111,01,NARCOTICS,103,0.01204115033902268
Friday,0111,01,OFFENSE INVOLVING CHILDREN,6,0.0007014262333411269
Friday,0111,01,OTHER NARCOTIC VIOLATION,1,0.00011690437222352116
Friday,0111,01,OTHER OFFENSE,269,0.03144727612812719
Friday,0111,01,PROSTITUTION,2,0.00023380874444704232
Friday,0111,01,PUBLIC PEACE VIOLATION,31,0.003624035538929156
Friday,0111,01,ROBBERY,117,0.013677811550151976
Friday,0111,01,SEX OFFENSE,21,0.0024549918166939444
Friday,0111,01,STALKING,2,0.00023380874444704232
Friday,0111,01,THEFT,3173,0.3709375730652326
Friday,0111,01,WEAPONS VIOLATION,12,0.0014028524666822538
Friday,0112,01,ARSON,2,0.00023380874444704232
Friday,0112,01,ASSAULT,173,0.02022445639466916
Friday,0112,01,BATTERY,367,0.042903904606032266
Friday,0112,01,BURGLARY,78,0.00911854103343465
Friday,0112,01,CRIM SEXUAL ASSAULT,7,0.0008183306055646482
Friday,0112,01,CRIMINAL DAMAGE,155,0.01812017769464578
Friday,0112,01,CRIMINAL SEXUAL ASSAULT,2,0.00023380874444704232
Friday,0112,01,CRIMINAL TRESPASS,188,0.02197802197802198
Friday,0112,01,DECEPTIVE PRACTICE,704,0.0823006780453589
Friday,0112,01,HOMICIDE,2,0.00023380874444704232
Friday,0112,01,INTERFERENCE WITH PUBLIC OFFICER,5,0.0005845218611176058
Friday,0112,01,INTIMIDATION,1,0.00011690437222352116
Friday,0112,01,LIQUOR LAW VIOLATION,10,0.0011690437222352116
Friday,0112,01,MOTOR VEHICLE THEFT,53,0.0061959317278466215
Friday,0112,01,NARCOTICS,51,0.005962122983399579
Friday,0112,01,OFFENSE INVOLVING CHILDREN,2,0.00023380874444704232
Friday,0112,01,OTHER OFFENSE,217,0.02536824877250409
Friday,0112,01,PROSTITUTION,3,0.00035071311667056346
Friday,0112,01,PUBLIC PEACE VIOLATION,61,0.007131166705634791
Friday,0112,01,ROBBERY,124,0.014496142155716624
Friday,0112,01,SEX OFFENSE,11,0.0012859480944587328
Friday,0112,01,STALKING,2,0.00023380874444704232
Friday,0112,01,THEFT,2858,0.3341126958148235
Friday,0112,01,WEAPONS VIOLATION,4,0.00046761748889408465
Friday,0113,01,ASSAULT,234,0.02735562310030395
Friday,0113,01,BATTERY,390,0.04559270516717325
Friday,0113,01,BURGLARY,73,0.008534019172317045
Friday,0113,01,CRIM SEXUAL ASSAULT,13,0.001519756838905775
Friday,0113,01,CRIMINAL DAMAGE,183,0.02139350011690437
Friday,0113,01,CRIMINAL TRESPASS,182,0.02127659574468085
Friday,0113,01,DECEPTIVE PRACTICE,526,0.06149169978957213
Friday,0113,01,GAMBLING,1,0.00011690437222352116
Friday,0113,01,INTERFERENCE WITH PUBLIC OFFICER,10,0.0011690437222352116
Friday,0113,01,INTIMIDATION,15,0.0017535655833528173
Friday,0113,01,KIDNAPPING,1,0.00011690437222352116
Friday,0113,01,LIQUOR LAW VIOLATION,12,0.0014028524666822538
Friday,0113,01,MOTOR VEHICLE THEFT,47,0.005494505494505495
Friday,0113,01,NARCOTICS,88,0.010287584755669862
Friday,0113,01,NON-CRIMINAL,1,0.00011690437222352116
Friday,0113,01,OBSCENITY,1,0.00011690437222352116
Friday,0113,01,OFFENSE INVOLVING CHILDREN,2,0.00023380874444704232
Friday,0113,01,OTHER OFFENSE,210,0.024549918166939442
Friday,0113,01,PROSTITUTION,2,0.00023380874444704232
Friday,0113,01,PUBLIC PEACE VIOLATION,38,0.004442366144493804
Friday,0113,01,ROBBERY,121,0.01414542903904606
Friday,0113,01,SEX OFFENSE,12,0.0014028524666822538
Friday,0113,01,STALKING,2,0.00023380874444704232
Friday,0113,01,THEFT,1833,0.21428571428571427
Friday,0113,01,WEAPONS VIOLATION,14,0.0016366612111292963
Friday,0114,01,ARSON,1,0.00011690437222352116
Friday,0114,01,ASSAULT,71,0.008300210427870002
Friday,0114,01,BATTERY,207,0.02419920505026888
Friday,0114,01,BURGLARY,21,0.0024549918166939444
Friday,0114,01,CRIM SEXUAL ASSAULT,8,0.0009352349777881693
Friday,0114,01,CRIMINAL DAMAGE,136,0.01589899462239888
Friday,0114,01,CRIMINAL SEXUAL ASSAULT,8,0.0009352349777881693
Friday,0114,01,CRIMINAL TRESPASS,61,0.007131166705634791
Friday,0114,01,DECEPTIVE PRACTICE,238,0.027823240589198037
Friday,0114,01,INTERFERENCE WITH PUBLIC OFFICER,4,0.00046761748889408465
Friday,0114,01,INTIMIDATION,2,0.00023380874444704232
Friday,0114,01,KIDNAPPING,1,0.00011690437222352116
Friday,0114,01,LIQUOR LAW VIOLATION,3,0.00035071311667056346
Friday,0114,01,MOTOR VEHICLE THEFT,66,0.007715688566752397
Friday,0114,01,NARCOTICS,53,0.0061959317278466215
Friday,0114,01,OFFENSE INVOLVING CHILDREN,3,0.00035071311667056346
Friday,0114,01,OTHER OFFENSE,62,0.007248071077858312
Friday,0114,01,PROSTITUTION,5,0.0005845218611176058
Friday,0114,01,PUBLIC INDECENCY,1,0.00011690437222352116
Friday,0114,01,PUBLIC PEACE VIOLATION,20,0.002338087444470423
Friday,0114,01,ROBBERY,29,0.0033902267944821134
Friday,0114,01,SEX OFFENSE,13,0.001519756838905775
Friday,0114,01,STALKING,3,0.00035071311667056346
Friday,0114,01,THEFT,1243,0.1453121346738368
Friday,0114,01,WEAPONS VIOLATION,16,0.0018704699555763386
Friday,0121,01,ASSAULT,66,0.007715688566752397
Friday,0121,01,BATTERY,105,0.012274959083469721
Friday,0121,01,BURGLARY,28,0.0032733224222585926
Friday,0121,01,CRIM SEXUAL ASSAULT,2,0.00023380874444704232
Friday,0121,01,CRIMINAL DAMAGE,107,0.012508767827916763
Friday,0121,01,CRIMINAL SEXUAL ASSAULT,8,0.0009352349777881693
Friday,0121,01,CRIMINAL TRESPASS,55,0.006429740472293664
Friday,0121,01,DECEPTIVE PRACTICE,199,0.02326397007248071
Friday,0121,01,INTERFERENCE WITH PUBLIC OFFICER,2,0.00023380874444704232
Friday,0121,01,KIDNAPPING,3,0.00035071311667056346
Friday,0121,01,LIQUOR LAW VIOLATION,1,0.00011690437222352116
Friday,0121,01,MOTOR VEHICLE THEFT,52,0.0060790273556231
Friday,0121,01,NARCOTICS,43,0.00502688800561141
Friday,0121,01,NON-CRIMINAL,1,0.00011690437222352116
Friday,0121,01,OFFENSE INVOLVING CHILDREN,5,0.0005845218611176058
Friday,0121,01,OTHER OFFENSE,62,0.007248071077858312
Friday,0121,01,PUBLIC PEACE VIOLATION,9,0.0010521393500116905
Friday,0121,01,ROBBERY,51,0.005962122983399579
Friday,0121,01,THEFT,613,0.07166238017301847
Friday,0121,01,WEAPONS VIOLATION,6,0.0007014262333411269
Friday,0122,01,ARSON,2,0.00023380874444704232
Friday,0122,01,ASSAULT,248,0.028992284311433247
Friday,0122,01,BATTERY,465,0.05436053308393734
Friday,0122,01,BURGLARY,106,0.012391863455693243
Friday,0122,01,CONCEALED CARRY LICENSE VIOLATION,1,0.00011690437222352116
