dayofweek,district,primary_type,count,average
Friday,01,ARSON,13,0.001519756838905775
Friday,01,ASSAULT,2184,0.2553191489361702
Friday,01,BATTERY,4285,0.5009352349777881
Friday,01,BURGLARY,834,0.09749824643441665
Friday,01,CONCEALED CARRY LICENSE VIOLATION,2,0.00023380874444704232
Friday,01,CRIM SEXUAL ASSAULT,100,0.011690437222352116
Friday,01,CRIMINAL DAMAGE,2711,0.31692775309796584
Friday,01,CRIMINAL SEXUAL ASSAULT,57,0.0066635492167407065
Friday,01,CRIMINAL TRESPASS,2328,0.27215337853635724
Friday,01,DECEPTIVE PRACTICE,5266,0.6156184241290624
Friday,01,GAMBLING,8,0.0009352349777881693
Friday,01,HOMICIDE,16,0.0018704699555763386
Friday,01,INTERFERENCE WITH PUBLIC OFFICER,82,0.009586158522328735
Friday,01,INTIMIDATION,46,0.005377601122281974
Friday,01,KIDNAPPING,22,0.0025718961889174656
Friday,01,LIQUOR LAW VIOLATION,79,0.009235445405658172
Friday,01,MOTOR VEHICLE THEFT,1366,0.1596913724573299
Friday,01,NARCOTICS,1100,0.1285948094458733
Friday,01,NON - CRIMINAL,1,0.00011690437222352116
Friday,01,NON-CRIMINAL,6,0.0007014262333411269
Friday,01,OBSCENITY,2,0.00023380874444704232
Friday,01,OFFENSE INVOLVING CHILDREN,111,0.012976385316810848
Friday,01,OTHER NARCOTIC VIOLATION,2,0.00023380874444704232
Friday,01,OTHER OFFENSE,2122,0.2480710778583119
Friday,01,PROSTITUTION,82,0.009586158522328735
Friday,01,PUBLIC INDECENCY,2,0.00023380874444704232
Friday,01,PUBLIC PEACE VIOLATION,353,0.04126724339490297
Friday,01,ROBBERY,1221,0.14274023848491935
Friday,01,SEX OFFENSE,177,0.020692073883563245
Friday,01,STALKING,32,0.003740939911152677
Friday,01,THEFT,22774,2.662380173018471
Friday,01,WEAPONS VIOLATION,194,0.022679448211363105
Friday,02,ARSON,42,0.004909983633387889
Friday,02,ASSAULT,3320,0.3881225157820902
Friday,02,BATTERY,8554,1.0
Friday,02,BURGLARY,2018,0.2359130231470657
Friday,02,CONCEALED CARRY LICENSE VIOLATION,3,0.00035071311667056346
Friday,02,CRIM SEXUAL ASSAULT,176,0.020575169511339725
Friday,02,CRIMINAL DAMAGE,4366,0.5104044891278934
Friday,02,CRIMINAL SEXUAL ASSAULT,47,0.005494505494505495
Friday,02,CRIMINAL TRESPASS,1577,0.18435819499649286
Friday,02,DECEPTIVE PRACTICE,2020,0.23614683189151275
Friday,02,GAMBLING,106,0.012391863455693243
Friday,02,HOMICIDE,71,0.008300210427870002
Friday,02,HUMAN TRAFFICKING,1,0.00011690437222352116
Friday,02,INTERFERENCE WITH PUBLIC OFFICER,75,0.008767827916764087
Friday,02,INTIMIDATION,28,0.0032733224222585926
Friday,02,KIDNAPPING,39,0.004559270516717325
Friday,02,LIQUOR LAW VIOLATION,45,0.0052606967500584524
Friday,02,MOTOR VEHICLE THEFT,2384,0.27870002338087446
Friday,02,NARCOTICS,4467,0.522211830722469
Friday,02,NON - CRIMINAL,2,0.00023380874444704232
Friday,02,NON-CRIMINAL,2,0.00023380874444704232
Friday,02,OBSCENITY,8,0.0009352349777881693
Friday,02,OFFENSE INVOLVING CHILDREN,361,0.042202478372691136
Friday,02,OTHER OFFENSE,2603,0.30430208089782557
Friday,02,PROSTITUTION,435,0.05085340191723171
Friday,02,PUBLIC INDECENCY,1,0.00011690437222352116
Friday,02,PUBLIC PEACE VIOLATION,178,0.020808978255786766
Friday,02,RITUALISM,1,0.00011690437222352116
Friday,02,ROBBERY,1928,0.22539162964694878
Friday,02,SEX OFFENSE,153,0.01788636895019874
Friday,02,STALKING,43,0.00502688800561141
Friday,02,THEFT,8099,0.9468085106382979
Friday,02,WEAPONS VIOLATION,586,0.0685059621229834
Friday,03,ARSON,95,0.01110591536123451
Friday,03,ASSAULT,4575,0.5348375029226093
Friday,03,BATTERY,12634,1.4769698386719663
Friday,03,BURGLARY,4085,0.4775543605330839
Friday,03,CONCEALED CARRY LICENSE VIOLATION,3,0.00035071311667056346
Friday,03,CRIM SEXUAL ASSAULT,226,0.026420388122515782
Friday,03,CRIMINAL DAMAGE,6813,0.7964694879588496
Friday,03,CRIMINAL SEXUAL ASSAULT,72,0.008417114800093524
Friday,03,CRIMINAL TRESPASS,2151,0.25146130465279404
Friday,03,DECEPTIVE PRACTICE,2175,0.2542670095861585
Friday,03,GAMBLING,158,0.018470890811316344
Friday,03,HOMICIDE,113,0.013210194061257891
Friday,03,INTERFERENCE WITH PUBLIC OFFICER,141,0.016483516483516484
Friday,03,INTIMIDATION,29,0.0033902267944821134
Friday,03,KIDNAPPING,86,0.01005377601122282
Friday,03,LIQUOR LAW VIOLATION,54,0.006312836100070143
Friday,03,MOTOR VEHICLE THEFT,2946,0.3444002805704933
Friday,03,NARCOTICS,5506,0.6436754734627075
Friday,03,OBSCENITY,5,0.0005845218611176058
Friday,03,OFFENSE INVOLVING CHILDREN,669,0.07820902501753565
Friday,03,OTHER OFFENSE,4141,0.48410100537760115
Friday,03,PROSTITUTION,271,0.03168108487257423
Friday,03,PUBLIC INDECENCY,1,0.00011690437222352116
Friday,03,PUBLIC PEACE VIOLATION,369,0.043137713350479306
Friday,03,ROBBERY,2830,0.33083937339256486
Friday,03,SEX OFFENSE,215,0.02513444002805705
Friday,03,STALKING,35,0.004091653027823241
Friday,03,THEFT,9115,1.0655833528173955
Friday,03,WEAPONS VIOLATION,1031,0.12052840776245032
Friday,04,ARSON,121,0.01414542903904606
Friday,04,ASSAULT,5406,0.6319850362403554
Friday,04,BATTERY,13310,1.5559971942950666
Friday,04,BURGLARY,4453,0.5205751695113398
Friday,04,CONCEALED CARRY LICENSE VIOLATION,7,0.0008183306055646482
Friday,04,CRIM SEXUAL ASSAULT,231,0.027004909983633387
Friday,04,CRIMINAL DAMAGE,8525,0.9966097732055179
Friday,04,CRIMINAL SEXUAL ASSAULT,71,0.008300210427870002
Friday,04,CRIMINAL TRESPASS,1479,0.1729015665185878
Friday,04,DECEPTIVE PRACTICE,2611,0.30523731587561376
Friday,04,GAMBLING,99,0.011573532850128595
Friday,04,HOMICIDE,114,0.013327098433481413
Friday,04,HUMAN TRAFFICKING,1,0.00011690437222352116
Friday,04,INTERFERENCE WITH PUBLIC OFFICER,159,0.018587795183539865
Friday,04,INTIMIDATION,43,0.00502688800561141
Friday,04,KIDNAPPING,120,0.014028524666822539
Friday,04,LIQUOR LAW VIOLATION,129,0.015080664016834229
Friday,04,MOTOR VEHICLE THEFT,3677,0.4298573766658873
Friday,04,NARCOTICS,5522,0.6455459434182839
Friday,04,OBSCENITY,3,0.00035071311667056346
Friday,04,OFFENSE INVOLVING CHILDREN,890,0.10404489127893383
Friday,04,OTHER NARCOTIC VIOLATION,1,0.00011690437222352116
Friday,04,OTHER OFFENSE,4850,0.5669862052840776
Friday,04,PROSTITUTION,319,0.03729249473930325
Friday,04,PUBLIC PEACE VIOLATION,505,0.05903670797287819
Friday,04,RITUALISM,1,0.00011690437222352116
Friday,04,ROBBERY,2636,0.3081599251812018
Friday,04,SEX OFFENSE,247,0.028875379939209727
Friday,04,STALKING,49,0.0057283142389525366
Friday,04,THEFT,11267,1.3171615618424128
Friday,04,WEAPONS VIOLATION,1271,0.14858545709609539
Friday,05,ARSON,70,0.008183306055646482
Friday,05,ASSAULT,4395,0.5137947159223755
Friday,05,BATTERY,11400,1.3327098433481412
Friday,05,BURGLARY,3237,0.378419452887538
Friday,05,CONCEALED CARRY LICENSE VIOLATION,12,0.0014028524666822538
Friday,05,CRIM SEXUAL ASSAULT,210,0.024549918166939442
Friday,05,CRIMINAL DAMAGE,6378,0.745616086041618
Friday,05,CRIMINAL SEXUAL ASSAULT,45,0.0052606967500584524
Friday,05,CRIMINAL TRESPASS,1167,0.13642740238484918
Friday,05,DECEPTIVE PRACTICE,1776,0.20762216506897357
Friday,05,GAMBLING,98,0.011456628477905073
Friday,05,HOMICIDE,106,0.012391863455693243
Friday,05,INTERFERENCE WITH PUBLIC OFFICER,190,0.02221183072246902
Friday,05,INTIMIDATION,36,0.004208557400046762
Friday,05,KIDNAPPING,90,0.010521393500116905
Friday,05,LIQUOR LAW VIOLATION,38,0.004442366144493804
Friday,05,MOTOR VEHICLE THEFT,2597,0.30360065466448444
Friday,05,NARCOTICS,4930,0.5763385550619593
Friday,05,NON-CRIMINAL,2,0.00023380874444704232
Friday,05,OFFENSE INVOLVING CHILDREN,565,0.06605097030628945
Friday,05,OTHER NARCOTIC VIOLATION,1,0.00011690437222352116
Friday,05,OTHER OFFENSE,3524,0.41197100771568856
Friday,05,PROSTITUTION,478,0.055880289922843114
Friday,05,PUBLIC PEACE VIOLATION,301,0.03518821603927987
Friday,05,RITUALISM,2,0.00023380874444704232
Friday,05,ROBBERY,1907,0.22293663783025486
Friday,05,SEX OFFENSE,159,0.018587795183539865
Friday,05,STALKING,36,0.004208557400046762
Friday,05,THEFT,7475,0.8738601823708206
Friday,05,WEAPONS VIOLATION,1268,0.14823474397942482
Friday,06,ARSON,95,0.01110591536123451
Friday,06,ASSAULT,5238,0.6123451017068038
Friday,06,BATTERY,13550,1.5840542436287117
Friday,06,BURGLARY,4142,0.48421790974982465
Friday,06,CONCEALED CARRY LICENSE VIOLATION,15,0.0017535655833528173
