month,district,primary_type,count,average
April,01,ARSON,13,0.04609929078014184
April,01,ASSAULT,1158,4.1063829787234045
April,01,BATTERY,2314,8.205673758865249
April,01,BURGLARY,339,1.202127659574468
April,01,CONCEALED CARRY LICENSE VIOLATION,3,0.010638297872340425
April,01,CRIM SEXUAL ASSAULT,33,0.11702127659574468
April,01,CRIMINAL DAMAGE,1465,5.195035460992908
April,01,CRIMINAL SEXUAL ASSAULT,27,0.09574468085106383
April,01,CRIMINAL TRESPASS,1281,4.542553191489362
April,01,DECEPTIVE PRACTICE,2430,8.617021276595745
April,01,GAMBLING,6,0.02127659574468085
April,01,HOMICIDE,4,0.014184397163120567
April,01,INTERFERENCE WITH PUBLIC OFFICER,38,0.1347517730496454
April,01,INTIMIDATION,24,0.0851063829787234
April,01,KIDNAPPING,7,0.024822695035460994
April,01,LIQUOR LAW VIOLATION,25,0.08865248226950355
April,01,MOTOR VEHICLE THEFT,677,2.400709219858156
April,01,NARCOTICS,594,2.106382978723404
April,01,NON-CRIMINAL,1,0.0035460992907801418
April,01,OBSCENITY,3,0.010638297872340425
April,01,OFFENSE INVOLVING CHILDREN,58,0.20567375886524822
April,01,OTHER OFFENSE,1204,4.2695035460992905
April,01,PROSTITUTION,73,0.25886524822695034
April,01,PUBLIC INDECENCY,2,0.0070921985815602835
April,01,PUBLIC PEACE VIOLATION,155,0.549645390070922
April,01,ROBBERY,587,2.0815602836879434
April,01,SEX OFFENSE,84,0.2978723404255319
April,01,STALKING,27,0.09574468085106383
April,01,THEFT,10519,37.301418439716315
April,01,WEAPONS VIOLATION,126,0.44680851063829785
April,02,ARSON,13,0.04609929078014184
April,02,ASSAULT,1881,6.670212765957447
April,02,BATTERY,5336,18.921985815602838
April,02,BURGLARY,1038,3.6808510638297873
April,02,CRIM SEXUAL ASSAULT,93,0.32978723404255317
April,02,CRIMINAL DAMAGE,2585,9.166666666666666
April,02,CRIMINAL SEXUAL ASSAULT,26,0.09219858156028368
April,02,CRIMINAL TRESPASS,1032,3.6595744680851063
April,02,DECEPTIVE PRACTICE,1020,3.617021276595745
April,02,GAMBLING,47,0.16666666666666666
April,02,HOMICIDE,44,0.15602836879432624
April,02,INTERFERENCE WITH PUBLIC OFFICER,53,0.1879432624113475
April,02,INTIMIDATION,18,0.06382978723404255
April,02,KIDNAPPING,13,0.04609929078014184
April,02,LIQUOR LAW VIOLATION,16,0.05673758865248227
April,02,MOTOR VEHICLE THEFT,1310,4.6453900709219855
April,02,NARCOTICS,2528,8.964539007092199
April,02,OBSCENITY,2,0.0070921985815602835
April,02,OFFENSE INVOLVING CHILDREN,160,0.5673758865248227
April,02,OTHER OFFENSE,1574,5.581560283687943
April,02,PROSTITUTION,230,0.8156028368794326
April,02,PUBLIC PEACE VIOLATION,113,0.40070921985815605
April,02,ROBBERY,923,3.273049645390071
April,02,SEX OFFENSE,75,0.26595744680851063
April,02,STALKING,15,0.05319148936170213
April,02,THEFT,4136,14.666666666666666
April,02,WEAPONS VIOLATION,333,1.1808510638297873
April,03,ARSON,49,0.17375886524822695
April,03,ASSAULT,2720,9.645390070921986
April,03,BATTERY,7946,28.177304964539008
April,03,BURGLARY,1932,6.851063829787234
April,03,CONCEALED CARRY LICENSE VIOLATION,1,0.0035460992907801418
April,03,CRIM SEXUAL ASSAULT,125,0.4432624113475177
April,03,CRIMINAL DAMAGE,4202,14.900709219858156
April,03,CRIMINAL SEXUAL ASSAULT,31,0.1099290780141844
April,03,CRIMINAL TRESPASS,1191,4.223404255319149
April,03,DECEPTIVE PRACTICE,1173,4.159574468085107
April,03,GAMBLING,104,0.36879432624113473
April,03,HOMICIDE,64,0.22695035460992907
April,03,INTERFERENCE WITH PUBLIC OFFICER,88,0.3120567375886525
April,03,INTIMIDATION,14,0.04964539007092199
April,03,KIDNAPPING,32,0.11347517730496454
April,03,LIQUOR LAW VIOLATION,30,0.10638297872340426
April,03,MOTOR VEHICLE THEFT,1606,5.695035460992908
April,03,NARCOTICS,2892,10.25531914893617
April,03,OBSCENITY,3,0.010638297872340425
April,03,OFFENSE INVOLVING CHILDREN,318,1.127659574468085
April,03,OTHER OFFENSE,2540,9.00709219858156
April,03,PROSTITUTION,221,0.7836879432624113
April,03,PUBLIC PEACE VIOLATION,210,0.7446808510638298
April,03,ROBBERY,1416,5.0212765957446805
April,03,SEX OFFENSE,128,0.45390070921985815
April,03,STALKING,24,0.0851063829787234
April,03,THEFT,4942,17.52482269503546
April,03,WEAPONS VIOLATION,607,2.152482269503546
April,04,ARSON,70,0.24822695035460993
April,04,ASSAULT,3262,11.567375886524824
April,04,BATTERY,8087,28.677304964539008
April,04,BURGLARY,2238,7.9361702127659575
April,04,CONCEALED CARRY LICENSE VIOLATION,3,0.010638297872340425
April,04,CRIM SEXUAL ASSAULT,147,0.5212765957446809
April,04,CRIMINAL DAMAGE,5415,19.20212765957447
April,04,CRIMINAL SEXUAL ASSAULT,36,0.1276595744680851
April,04,CRIMINAL TRESPASS,770,2.730496453900709
April,04,DECEPTIVE PRACTICE,1425,5.053191489361702
April,04,GAMBLING,57,0.20212765957446807
April,04,HOMICIDE,74,0.2624113475177305
April,04,HUMAN TRAFFICKING,1,0.0035460992907801418
April,04,INTERFERENCE WITH PUBLIC OFFICER,82,0.2907801418439716
April,04,INTIMIDATION,30,0.10638297872340426
April,04,KIDNAPPING,48,0.1702127659574468
April,04,LIQUOR LAW VIOLATION,57,0.20212765957446807
April,04,MOTOR VEHICLE THEFT,1848,6.553191489361702
April,04,NARCOTICS,2790,9.893617021276595
April,04,NON-CRIMINAL,1,0.0035460992907801418
April,04,OBSCENITY,1,0.0035460992907801418
April,04,OFFENSE INVOLVING CHILDREN,366,1.297872340425532
April,04,OTHER OFFENSE,2847,10.095744680851064
April,04,PROSTITUTION,116,0.41134751773049644
April,04,PUBLIC PEACE VIOLATION,236,0.8368794326241135
April,04,ROBBERY,1341,4.75531914893617
April,04,SEX OFFENSE,108,0.3829787234042553
April,04,STALKING,31,0.1099290780141844
April,04,THEFT,6028,21.375886524822697
April,04,WEAPONS VIOLATION,767,2.719858156028369
April,05,ARSON,56,0.19858156028368795
April,05,ASSAULT,2667,9.457446808510639
April,05,BATTERY,7105,25.19503546099291
April,05,BURGLARY,1556,5.5177304964539005
April,05,CONCEALED CARRY LICENSE VIOLATION,7,0.024822695035460994
April,05,CRIM SEXUAL ASSAULT,126,0.44680851063829785
April,05,CRIMINAL DAMAGE,3983,14.124113475177305
April,05,CRIMINAL SEXUAL ASSAULT,27,0.09574468085106383
April,05,CRIMINAL TRESPASS,635,2.25177304964539
