year,district,primary_type,count
2001,01,ASSAULT,561
2001,01,BATTERY,1118
2001,01,BURGLARY,288
2001,01,CRIM SEXUAL ASSAULT,26
2001,01,CRIMINAL DAMAGE,727
2001,01,CRIMINAL SEXUAL ASSAULT,4
2001,01,CRIMINAL TRESPASS,767
2001,01,DECEPTIVE PRACTICE,1421
2001,01,GAMBLING,9
2001,01,HOMICIDE,4
2001,01,INTERFERENCE WITH PUBLIC OFFICER,13
2001,01,INTIMIDATION,19
2001,01,KIDNAPPING,2
2001,01,LIQUOR LAW VIOLATION,32
2001,01,MOTOR VEHICLE THEFT,472
2001,01,NARCOTICS,405
2001,01,OFFENSE INVOLVING CHILDREN,10
2001,01,OTHER OFFENSE,862
2001,01,PROSTITUTION,20
2001,01,PUBLIC INDECENCY,1
2001,01,PUBLIC PEACE VIOLATION,193
2001,01,ROBBERY,245
2001,01,SEX OFFENSE,46
2001,01,STALKING,7
2001,01,THEFT,7532
2001,01,WEAPONS VIOLATION,46
2001,02,ARSON,19
2001,02,ASSAULT,1452
2001,02,BATTERY,5237
2001,02,BURGLARY,647
2001,02,CRIM SEXUAL ASSAULT,107
2001,02,CRIMINAL DAMAGE,1780
2001,02,CRIMINAL TRESPASS,1094
2001,02,DECEPTIVE PRACTICE,236
2001,02,GAMBLING,82
2001,02,HOMICIDE,37
2001,02,INTERFERENCE WITH PUBLIC OFFICER,18
2001,02,INTIMIDATION,6
2001,02,KIDNAPPING,24
2001,02,LIQUOR LAW VIOLATION,37
2001,02,MOTOR VEHICLE THEFT,776
2001,02,NARCOTICS,4119
2001,02,OFFENSE INVOLVING CHILDREN,83
2001,02,OTHER OFFENSE,858
2001,02,PROSTITUTION,499
2001,02,PUBLIC INDECENCY,2
2001,02,PUBLIC PEACE VIOLATION,73
2001,02,RITUALISM,1
2001,02,ROBBERY,846
2001,02,SEX OFFENSE,52
2001,02,STALKING,6
2001,02,THEFT,2247
2001,02,WEAPONS VIOLATION,208
2001,03,ARSON,42
2001,03,ASSAULT,1866
2001,03,BATTERY,5827
2001,03,BURGLARY,1169
2001,03,CRIM SEXUAL ASSAULT,113
2001,03,CRIMINAL DAMAGE,2813
2001,03,CRIMINAL SEXUAL ASSAULT,4
2001,03,CRIMINAL TRESPASS,702
2001,03,DECEPTIVE PRACTICE,512
2001,03,GAMBLING,83
2001,03,HOMICIDE,36
2001,03,INTERFERENCE WITH PUBLIC OFFICER,24
2001,03,INTIMIDATION,12
2001,03,KIDNAPPING,54
2001,03,LIQUOR LAW VIOLATION,52
2001,03,MOTOR VEHICLE THEFT,1357
2001,03,NARCOTICS,2131
2001,03,OFFENSE INVOLVING CHILDREN,129
2001,03,OTHER OFFENSE,1515
2001,03,PROSTITUTION,141
2001,03,PUBLIC PEACE VIOLATION,101
2001,03,ROBBERY,1142
2001,03,SEX OFFENSE,102
2001,03,STALKING,14
2001,03,THEFT,4190
2001,03,WEAPONS VIOLATION,178
2001,04,ARSON,56
2001,04,ASSAULT,2090
2001,04,BATTERY,5591
2001,04,BURGLARY,1301
2001,04,CRIM SEXUAL ASSAULT,111
2001,04,CRIMINAL DAMAGE,3611
2001,04,CRIMINAL SEXUAL ASSAULT,3
2001,04,CRIMINAL TRESPASS,447
2001,04,DECEPTIVE PRACTICE,609
2001,04,DOMESTIC VIOLENCE,1
2001,04,GAMBLING,32
2001,04,HOMICIDE,45
2001,04,INTERFERENCE WITH PUBLIC OFFICER,16
2001,04,INTIMIDATION,19
2001,04,KIDNAPPING,80
2001,04,LIQUOR LAW VIOLATION,72
2001,04,MOTOR VEHICLE THEFT,1374
2001,04,NARCOTICS,1979
2001,04,OBSCENITY,1
2001,04,OFFENSE INVOLVING CHILDREN,168
2001,04,OTHER OFFENSE,1621
2001,04,PROSTITUTION,222
2001,04,PUBLIC PEACE VIOLATION,144
2001,04,ROBBERY,879
2001,04,SEX OFFENSE,90
2001,04,STALKING,5
2001,04,THEFT,4225
2001,04,WEAPONS VIOLATION,329
2001,05,ARSON,50
2001,05,ASSAULT,1879
2001,05,BATTERY,5279
2001,05,BURGLARY,1129
2001,05,CRIM SEXUAL ASSAULT,105
2001,05,CRIMINAL DAMAGE,2491
2001,05,CRIMINAL SEXUAL ASSAULT,2
2001,05,CRIMINAL TRESPASS,353
2001,05,DECEPTIVE PRACTICE,352
2001,05,GAMBLING,38
2001,05,HOMICIDE,36
2001,05,INTERFERENCE WITH PUBLIC OFFICER,27
2001,05,INTIMIDATION,15
2001,05,KIDNAPPING,47
2001,05,LIQUOR LAW VIOLATION,30
2001,05,MOTOR VEHICLE THEFT,1020
2001,05,NARCOTICS,1824
2001,05,OFFENSE INVOLVING CHILDREN,130
2001,05,OTHER OFFENSE,1273
2001,05,PROSTITUTION,178
2001,05,PUBLIC PEACE VIOLATION,121
2001,05,RITUALISM,1
2001,05,ROBBERY,745
2001,05,SEX OFFENSE,80
2001,05,STALKING,8
2001,05,THEFT,2607
2001,05,WEAPONS VIOLATION,186
2001,06,ARSON,47
2001,06,ASSAULT,1720
2001,06,BATTERY,5194
2001,06,BURGLARY,1521
2001,06,CRIM SEXUAL ASSAULT,107
2001,06,CRIMINAL DAMAGE,2900
2001,06,CRIMINAL SEXUAL ASSAULT,1
2001,06,CRIMINAL TRESPASS,586
2001,06,DECEPTIVE PRACTICE,1151
2001,06,GAMBLING,36
2001,06,HOMICIDE,48
2001,06,INTERFERENCE WITH PUBLIC OFFICER,25
2001,06,INTIMIDATION,12
2001,06,KIDNAPPING,61
2001,06,LIQUOR LAW VIOLATION,35
2001,06,MOTOR VEHICLE THEFT,1569
2001,06,NARCOTICS,1766
2001,06,OFFENSE INVOLVING CHILDREN,161
2001,06,OTHER OFFENSE,1662
2001,06,PROSTITUTION,176
2001,06,PUBLIC PEACE VIOLATION,116
2001,06,ROBBERY,1213
2001,06,SEX OFFENSE,119
2001,06,STALKING,16
2001,06,THEFT,5006
2001,06,WEAPONS VIOLATION,242
2001,07,ARSON,75
2001,07,ASSAULT,2287
2001,07,BATTERY,7625
2001,07,BURGLARY,1465
2001,07,CRIM SEXUAL ASSAULT,134
2001,07,CRIMINAL DAMAGE,3163
2001,07,CRIMINAL SEXUAL ASSAULT,3
2001,07,CRIMINAL TRESPASS,432
2001,07,DECEPTIVE PRACTICE,400
2001,07,GAMBLING,84
2001,07,HOMICIDE,45
2001,07,INTERFERENCE WITH PUBLIC OFFICER,26
2001,07,INTIMIDATION,14
2001,07,KIDNAPPING,38
2001,07,LIQUOR LAW VIOLATION,56
2001,07,MOTOR VEHICLE THEFT,1401
2001,07,NARCOTICS,2472
2001,07,OBSCENITY,1
2001,07,OFFENSE INVOLVING CHILDREN,134
2001,07,OTHER OFFENSE,1234
2001,07,PROSTITUTION,227
2001,07,PUBLIC INDECENCY,1
2001,07,PUBLIC PEACE VIOLATION,135
2001,07,ROBBERY,1151
2001,07,SEX OFFENSE,110
2001,07,STALKING,10
2001,07,THEFT,3568
2001,07,WEAPONS VIOLATION,310
2001,08,ARSON,86
2001,08,ASSAULT,1809
2001,08,BATTERY,5091
2001,08,BURGLARY,2242
2001,08,CRIM SEXUAL ASSAULT,101
2001,08,CRIMINAL DAMAGE,4503
2001,08,CRIMINAL SEXUAL ASSAULT,3
2001,08,CRIMINAL TRESPASS,550
2001,08,DECEPTIVE PRACTICE,1159
2001,08,GAMBLING,53
2001,08,HOMICIDE,25
2001,08,INTERFERENCE WITH PUBLIC OFFICER,7
2001,08,INTIMIDATION,18
2001,08,KIDNAPPING,81
2001,08,LIQUOR LAW VIOLATION,69
2001,08,MOTOR VEHICLE THEFT,2547
2001,08,NARCOTICS,1908
2001,08,OBSCENITY,3
2001,08,OFFENSE INVOLVING CHILDREN,138
2001,08,OTHER NARCOTIC VIOLATION,1
2001,08,OTHER OFFENSE,2171
2001,08,PROSTITUTION,433
2001,08,PUBLIC PEACE VIOLATION,137
2001,08,ROBBERY,1101
2001,08,SEX OFFENSE,196
2001,08,STALKING,14
2001,08,THEFT,6661
2001,08,WEAPONS VIOLATION,249
2001,09,ARSON,88
2001,09,ASSAULT,1483
2001,09,BATTERY,4648
2001,09,BURGLARY,1795
2001,09,CRIM SEXUAL ASSAULT,74
2001,09,CRIMINAL DAMAGE,3176
2001,09,CRIMINAL SEXUAL ASSAULT,3
2001,09,CRIMINAL TRESPASS,591
2001,09,DECEPTIVE PRACTICE,511
2001,09,GAMBLING,51
2001,09,HOMICIDE,48
2001,09,INTERFERENCE WITH PUBLIC OFFICER,21
2001,09,INTIMIDATION,19
2001,09,KIDNAPPING,35
2001,09,LIQUOR LAW VIOLATION,81
2001,09,MOTOR VEHICLE THEFT,1462
2001,09,NARCOTICS,2438
2001,09,OBSCENITY,1
2001,09,OFFENSE INVOLVING CHILDREN,119
2001,09,OTHER OFFENSE,1476
2001,09,PROSTITUTION,454
2001,09,PUBLIC INDECENCY,2
2001,09,PUBLIC PEACE VIOLATION,153
2001,09,ROBBERY,820
2001,09,SEX OFFENSE,125
2001,09,STALKING,8
2001,09,THEFT,4123
2001,09,WEAPONS VIOLATION,282
2001,10,ARSON,79
2001,10,ASSAULT,1358
2001,10,BATTERY,4555
2001,10,BURGLARY,1025
2001,10,CRIM SEXUAL ASSAULT,78
2001,10,CRIMINAL DAMAGE,2075
2001,10,CRIMINAL SEXUAL ASSAULT,1
2001,10,CRIMINAL TRESPASS,559
2001,10,DECEPTIVE PRACTICE,271
2001,10,GAMBLING,23
2001,10,HOMICIDE,48
2001,10,INTERFERENCE WITH PUBLIC OFFICER,16
2001,10,INTIMIDATION,22
2001,10,KIDNAPPING,32
2001,10,LIQUOR LAW VIOLATION,70
2001,10,MOTOR VEHICLE THEFT,1287
2001,10,NARCOTICS,2573
2001,10,OFFENSE INVOLVING CHILDREN,116
2001,10,OTHER OFFENSE,1123
2001,10,PROSTITUTION,91
2001,10,PUBLIC PEACE VIOLATION,87
2001,10,ROBBERY,963
2001,10,SEX OFFENSE,121
2001,10,STALKING,16
2001,10,THEFT,2815
2001,10,WEAPONS VIOLATION,247
2001,11,ARSON,47
2001,11,ASSAULT,1667
2001,11,BATTERY,5938
2001,11,BURGLARY,866
2001,11,CRIM SEXUAL ASSAULT,101
2001,11,CRIMINAL DAMAGE,2193
2001,11,CRIMINAL TRESPASS,515
2001,11,DECEPTIVE PRACTICE,346
2001,11,GAMBLING,71
2001,11,HOMICIDE,72
2001,11,INTERFERENCE WITH PUBLIC OFFICER,17
2001,11,INTIMIDATION,8
2001,11,KIDNAPPING,36
2001,11,LIQUOR LAW VIOLATION,49
2001,11,MOTOR VEHICLE THEFT,1183
2001,11,NARCOTICS,7979
2001,11,OFFENSE INVOLVING CHILDREN,140
2001,11,OTHER OFFENSE,1150
2001,11,PROSTITUTION,424
2001,11,PUBLIC PEACE VIOLATION,128
2001,11,RITUALISM,2
2001,11,ROBBERY,1243
2001,11,SEX OFFENSE,67
2001,11,STALKING,5
2001,11,THEFT,3098
2001,11,WEAPONS VIOLATION,316
2001,12,ARSON,22
2001,12,ASSAULT,878
2001,12,BATTERY,2287
2001,12,BURGLARY,534
2001,12,CRIM SEXUAL ASSAULT,35
2001,12,CRIMINAL DAMAGE,1400
2001,12,CRIMINAL SEXUAL ASSAULT,2
2001,12,CRIMINAL TRESPASS,605
2001,12,DECEPTIVE PRACTICE,363
2001,12,GAMBLING,16
2001,12,HOMICIDE,20
2001,12,INTERFERENCE WITH PUBLIC OFFICER,9
2001,12,INTIMIDATION,12
2001,12,KIDNAPPING,24
2001,12,LIQUOR LAW VIOLATION,75
2001,12,MOTOR VEHICLE THEFT,734
2001,12,NARCOTICS,1309
2001,12,OBSCENITY,1
2001,12,OFFENSE INVOLVING CHILDREN,56
2001,12,OTHER NARCOTIC VIOLATION,2
2001,12,OTHER OFFENSE,701
2001,12,PROSTITUTION,80
2001,12,PUBLIC PEACE VIOLATION,152
2001,12,ROBBERY,376
2001,12,SEX OFFENSE,66
2001,12,STALKING,5
2001,12,THEFT,3074
2001,12,WEAPONS VIOLATION,162
2001,14,ARSON,50
2001,14,ASSAULT,1437
2001,14,BATTERY,3724
2001,14,BURGLARY,1659
2001,14,CRIM SEXUAL ASSAULT,75
2001,14,CRIMINAL DAMAGE,2838
2001,14,CRIMINAL TRESPASS,330
2001,14,DECEPTIVE PRACTICE,578
2001,14,GAMBLING,20
2001,14,HOMICIDE,31
2001,14,INTERFERENCE WITH PUBLIC OFFICER,12
2001,14,INTIMIDATION,15
2001,14,KIDNAPPING,39
2001,14,LIQUOR LAW VIOLATION,82
2001,14,MOTOR VEHICLE THEFT,1532
2001,14,NARCOTICS,1212
2001,14,OBSCENITY,3
2001,14,OFFENSE INVOLVING CHILDREN,95
2001,14,OTHER OFFENSE,1012
2001,14,PROSTITUTION,737
2001,14,PUBLIC INDECENCY,1
2001,14,PUBLIC PEACE VIOLATION,162
2001,14,RITUALISM,1
2001,14,ROBBERY,1121
2001,14,SEX OFFENSE,122
2001,14,STALKING,7
2001,14,THEFT,5465
2001,14,WEAPONS VIOLATION,189
2001,15,ARSON,45
2001,15,ASSAULT,1185
2001,15,BATTERY,4127
2001,15,BURGLARY,583
2001,15,CRIM SEXUAL ASSAULT,102
2001,15,CRIMINAL DAMAGE,1722
2001,15,CRIMINAL TRESPASS,288
2001,15,DECEPTIVE PRACTICE,232
2001,15,GAMBLING,104
2001,15,HOMICIDE,38
2001,15,INTERFERENCE WITH PUBLIC OFFICER,20
2001,15,INTIMIDATION,9
2001,15,KIDNAPPING,20
2001,15,LIQUOR LAW VIOLATION,69
2001,15,MOTOR VEHICLE THEFT,889
2001,15,NARCOTICS,5941
2001,15,OFFENSE INVOLVING CHILDREN,122
2001,15,OTHER OFFENSE,1284
2001,15,PROSTITUTION,227
2001,15,PUBLIC PEACE VIOLATION,77
2001,15,RITUALISM,1
2001,15,ROBBERY,745
2001,15,SEX OFFENSE,59
2001,15,STALKING,9
2001,15,THEFT,2020
2001,15,WEAPONS VIOLATION,206
2001,16,ARSON,20
2001,16,ASSAULT,876
2001,16,BATTERY,2160
2001,16,BURGLARY,1012
2001,16,CRIM SEXUAL ASSAULT,30
2001,16,CRIMINAL DAMAGE,2527
2001,16,CRIMINAL SEXUAL ASSAULT,1
2001,16,CRIMINAL TRESPASS,451
2001,16,DECEPTIVE PRACTICE,796
2001,16,GAMBLING,19
2001,16,HOMICIDE,5
2001,16,INTERFERENCE WITH PUBLIC OFFICER,10
2001,16,INTIMIDATION,7
2001,16,KIDNAPPING,44
2001,16,LIQUOR LAW VIOLATION,94
2001,16,MOTOR VEHICLE THEFT,1122
2001,16,NARCOTICS,557
2001,16,OBSCENITY,3
2001,16,OFFENSE INVOLVING CHILDREN,47
2001,16,OTHER OFFENSE,1747
2001,16,PROSTITUTION,14
2001,16,PUBLIC INDECENCY,1
2001,16,PUBLIC PEACE VIOLATION,96
2001,16,ROBBERY,246
2001,16,SEX OFFENSE,97
2001,16,STALKING,9
2001,16,THEFT,3912
2001,16,WEAPONS VIOLATION,115
2001,17,ARSON,38
2001,17,ASSAULT,705
2001,17,BATTERY,2269
2001,17,BURGLARY,935
2001,17,CRIM SEXUAL ASSAULT,54
2001,17,CRIMINAL DAMAGE,2140
2001,17,CRIMINAL SEXUAL ASSAULT,1
2001,17,CRIMINAL TRESPASS,254
2001,17,DECEPTIVE PRACTICE,455
2001,17,GAMBLING,35
2001,17,HOMICIDE,10
2001,17,INTERFERENCE WITH PUBLIC OFFICER,14
2001,17,INTIMIDATION,11
2001,17,KIDNAPPING,43
2001,17,LIQUOR LAW VIOLATION,86
2001,17,MOTOR VEHICLE THEFT,1222
2001,17,NARCOTICS,812
2001,17,OBSCENITY,1
2001,17,OFFENSE INVOLVING CHILDREN,65
2001,17,OTHER OFFENSE,1031
2001,17,PROSTITUTION,80
2001,17,PUBLIC PEACE VIOLATION,86
2001,17,ROBBERY,509
2001,17,SEX OFFENSE,107
2001,17,STALKING,9
2001,17,THEFT,3399
2001,17,WEAPONS VIOLATION,118
2001,18,ARSON,9
2001,18,ASSAULT,893
2001,18,BATTERY,3000
2001,18,BURGLARY,814
2001,18,CONCEALED CARRY LICENSE VIOLATION,1
2001,18,CRIM SEXUAL ASSAULT,48
2001,18,CRIMINAL DAMAGE,1666
2001,18,CRIMINAL SEXUAL ASSAULT,2
2001,18,CRIMINAL TRESPASS,1171
2001,18,DECEPTIVE PRACTICE,1202
2001,18,GAMBLING,2
2001,18,HOMICIDE,9
2001,18,INTERFERENCE WITH PUBLIC OFFICER,28
2001,18,INTIMIDATION,3
2001,18,KIDNAPPING,20
2001,18,LIQUOR LAW VIOLATION,71
2001,18,MOTOR VEHICLE THEFT,619
2001,18,NARCOTICS,1593
2001,18,OBSCENITY,2
2001,18,OFFENSE INVOLVING CHILDREN,48
2001,18,OTHER OFFENSE,933
2001,18,PROSTITUTION,538
2001,18,PUBLIC INDECENCY,1
2001,18,PUBLIC PEACE VIOLATION,139
2001,18,ROBBERY,526
2001,18,SEX OFFENSE,86
2001,18,STALKING,5
2001,18,THEFT,8995
2001,18,WEAPONS VIOLATION,103
2001,19,ARSON,19
2001,19,ASSAULT,563
2001,19,BATTERY,1484
2001,19,BURGLARY,1122
2001,19,CRIM SEXUAL ASSAULT,28
2001,19,CRIMINAL DAMAGE,1673
2001,19,CRIMINAL TRESPASS,457
2001,19,DECEPTIVE PRACTICE,628
2001,19,GAMBLING,16
2001,19,HOMICIDE,9
2001,19,INTERFERENCE WITH PUBLIC OFFICER,17
2001,19,INTIMIDATION,8
2001,19,KIDNAPPING,15
2001,19,LIQUOR LAW VIOLATION,85
2001,19,MOTOR VEHICLE THEFT,538
2001,19,NARCOTICS,489
2001,19,OBSCENITY,1
2001,19,OFFENSE INVOLVING CHILDREN,19
2001,19,OTHER NARCOTIC VIOLATION,1
2001,19,OTHER OFFENSE,758
2001,19,PROSTITUTION,180
2001,19,PUBLIC PEACE VIOLATION,75
2001,19,RITUALISM,1
2001,19,ROBBERY,359
2001,19,SEX OFFENSE,51
2001,19,STALKING,5
2001,19,THEFT,3918
2001,19,WEAPONS VIOLATION,52
2001,20,ARSON,15
2001,20,ASSAULT,638
2001,20,BATTERY,1710
