TSNE Component 1,TSNE Component 2,cluster,Beat
13.606338,15.015882,2,111
13.008093,15.213156,2,112
6.9788547,16.53081,4,113
5.6195054,15.331568,4,114
4.7988305,15.066332,4,121
11.751011,14.892189,2,122
9.820372,14.932258,4,123
9.29538,15.525071,4,124
3.789972,16.279022,4,131
3.1766453,14.568466,4,132
-3.5820532,3.8870099,0,133
-3.6722133,5.897985,0,211
2.309709,-6.250777,3,212
-7.2118745,-0.7930939,0,213
-9.4463825,5.703574,0,214
-13.069069,5.196045,0,215
-11.5835905,1.6535894,0,221
6.7866535,9.867553,4,222
-3.7720625,6.7236795,0,223
-8.264478,-2.671796,0,224
-8.731732,1.1458192,0,225
-6.877882,-1.5104592,0,231
-7.1937146,-5.4062066,0,232
-9.96487,10.545602,0,233
-1.4501473,13.57342,4,234
-11.016109,11.700429,0,235
-12.115089,3.3300774,0,311
3.3868423,-9.740093,3,312
-5.977373,-7.3963895,0,313
-2.6365867,3.03402,0,314
6.888462,-9.462304,3,321
0.23050933,-7.523733,3,322
5.2304516,-4.686412,3,323
6.57387,-6.0922227,3,324
4.6037345,-5.2921576,3,331
5.515586,-6.6731625,3,332
-4.30256,2.0147295,0,333
0.6075092,-6.169658,3,334
4.712812,-2.5508785,3,411
8.986492,0.7493931,4,412
4.080761,-2.6876955,3,413
9.979788,-9.125198,3,414
9.86927,-11.122432,3,421
-0.9904604,-12.802525,3,422
10.236235,-10.040689,3,423
4.3178825,-7.448632,3,424
7.294277,-3.6978645,3,431
-0.6828195,-4.101687,3,432
-0.7464055,5.849863,0,433
-13.08728,6.185075,0,434
10.949662,-8.967263,3,511
6.0935283,-8.878083,3,512
9.283511,-0.45459944,3,513
0.97711504,-14.070039,3,522
7.1535587,-6.278502,3,523
4.3828444,-4.034729,3,524
1.3221337,-4.309699,3,531
-7.082618,-3.681937,0,532
5.7726583,-10.312259,3,533
5.1087136,-9.180801,3,611
8.533481,-9.949939,3,612
5.1851196,-8.394546,3,613
2.0459034,-1.3418199,0,614
8.826478,-9.395818,3,621
9.453235,13.946247,4,622
8.143205,-0.20634316,3,623
9.0963335,-10.373806,3,624
8.3177,-9.2100525,3,631
8.92742,0.36592206,4,632
-5.84656,-1.3508719,0,633
1.4676865,-0.9151653,0,634
-3.6622343,-7.0144725,3,711
2.2064383,-13.281996,3,712
0.48678404,-14.42405,3,713
-11.610422,2.2123556,0,714
-9.034953,-0.57440317,0,715
-7.8769755,-2.008516,0,722
3.9484224,-8.691528,3,723
-4.8013616,-6.806829,3,724
0.93049216,-12.283074,3,725
-4.319482,-8.607919,3,726
-4.90324,-3.7026765,0,731
-7.801314,-4.3881464,0,732
1.5266559,-8.005895,3,733
-5.652266,-6.214401,0,734
2.9276145,-8.228335,3,735
-6.1681366,8.124229,0,811
-8.292961,9.014882,0,812
6.7892222,2.3774369,4,813
-6.991642,7.760612,0,814
5.0707793,5.168352,4,815
2.2591133,9.683021,4,821
-0.9583018,-2.2954435,3,822
10.047156,-8.189061,3,823
4.097257,-5.096334,3,824
1.7423617,-12.730133,3,825
7.03273,-6.8688684,3,831
4.919996,-6.879826,3,832
10.962046,13.226906,4,833
5.7650685,2.6837685,4,834
6.9857445,1.6260027,3,835
-9.785812,4.6217427,0,911
3.1605701,5.7551413,4,912
0.81790864,3.2306147,0,913
7.499685,12.399257,4,914
1.7195647,5.9113083,0,915
-6.9242487,-6.1279006,0,921
-2.0898535,-4.9458,3,922
-5.452998,-0.34927613,0,923
4.454548,8.562,4,924
-6.1170897,4.4677153,0,925
-4.7044683,-1.689468,0,931
-4.6202416,-7.8538604,3,932
-7.161482,-2.9649723,0,933
-3.9587352,-7.747348,3,934
-10.891558,2.9148288,0,935
-0.043081455,-17.030474,1,1011
-4.0030217,-4.8438354,0,1012
-3.0633276,-7.949048,3,1013
-2.8372545,-8.79217,3,1014
-0.51869744,-15.566376,3,1021
-0.07337587,-12.636288,3,1022
-6.632328,3.986297,0,1023
-3.5206275,-9.624504,3,1024
0.28330997,-3.3454525,3,1031
-12.554196,5.204918,0,1032
-1.1319425,1.4513013,0,1033
3.2371805,7.43124,4,1034
1.0229908,-12.603387,3,1111
-0.16765244,-19.829021,1,1112
-5.9490337,-12.869088,3,1113
-3.99947,-12.727635,0,1114
-1.6174145,-19.620758,1,1115
-1.03294,-20.383512,1,1121
-0.8024623,-19.498043,1,1122
-1.5126852,-15.153806,3,1123
-5.4541187,-8.960359,3,1124
-14.380984,6.00709,0,1125
-5.5898485,-12.023771,0,1131
-1.1906908,-18.403336,1,1132
-0.46308902,-18.95162,1,1133
-1.4603152,-18.531252,1,1134
-1.5600616,-13.807452,3,1135
-6.7773643,2.2918322,0,1211
0.69725347,12.1441765,4,1212
0.5021413,11.862156,4,1213
5.9282613,13.194013,4,1214
-0.4496613,10.914021,0,1215
1.7187213,11.325267,4,1221
-2.6310587,-6.559641,0,1222
2.2845566,6.881558,0,1223
3.1065834,13.012073,4,1224
-4.9306383,3.1527026,0,1225
-2.405618,12.414673,0,1231
8.585198,14.21758,4,1232
1.3728492,0.96920675,0,1233
-2.748183,-0.11809915,0,1234
-3.4110053,9.496297,0,1235
-4.4885607,9.5495205,0,1411
-2.3109188,8.488359,0,1412
-9.004787,8.196452,0,1413
-4.684986,12.556531,0,1414
-8.466209,3.3414383,0,1421
-5.9677286,-4.6342235,0,1422
-8.471829,2.2165024,0,1423
10.895874,13.349329,4,1424
-4.1080174,13.339503,0,1431
7.5118732,13.5515995,4,1432
6.8672132,13.932996,4,1433
7.6737156,13.010613,4,1434
-3.4013839,-11.008777,3,1511
-5.039482,-5.29558,0,1512
-4.299517,-6.225828,3,1513
0.09336901,-18.538183,1,1522
-1.0534538,-12.344027,3,1523
-1.720119,-11.983688,3,1524
-0.93701756,-16.347805,1,1531
-0.42081484,-17.675655,1,1532
-0.033942807,-20.553778,1,1533
-11.570917,10.253864,0,1611
-12.998841,9.01585,0,1612
-10.90497,9.996853,0,1613
-11.151763,8.267448,0,1614
-12.547028,11.242371,0,1621
2.072842,3.7523997,0,1622
2.5482056,5.0526423,4,1623
-6.3535657,7.255744,0,1624
-10.181503,7.785443,0,1631
-10.513685,6.8109074,0,1632
2.152547,4.5389156,0,1633
-5.9549074,-2.1404028,0,1634
-6.5648108,14.256816,0,1651
-15.109756,11.613386,0,1652
-15.629615,12.08078,0,1653
-15.592276,7.7484455,0,1654
-14.844002,11.387187,0,1655
-6.061137,10.849089,0,1711
3.6377256,5.205313,4,1712
-8.510492,6.1684556,0,1713
6.150377,11.850191,4,1722
3.2795541,-2.8952231,3,1723
-8.0166855,7.159445,0,1724
0.52738726,4.4730396,0,1731
0.5754312,10.54786,4,1732
-2.4561882,9.703195,0,1733
4.4072475,14.054664,4,1811
1.9445869,13.663507,4,1812
-5.3703995,13.7519455,0,1813
7.1052647,14.877575,4,1814
8.392849,11.33996,4,1821
2.4289644,14.615607,4,1822
-14.197124,8.517745,0,1823
7.9511824,15.807521,4,1824
12.415498,14.101896,2,1831
4.788429,16.851852,4,1832
12.782403,14.976635,2,1833
13.594642,14.508307,2,1834
-1.6270831,11.458339,0,1911
-4.4242835,10.579975,0,1912
0.53169256,0.8694184,0,1913
-2.5778599,-14.4599,3,1914
-4.219027,12.492129,0,1915
0.90118665,13.752843,4,1921
-0.37091303,12.686318,0,1922
-1.6630965,12.472864,0,1923
9.879304,10.497521,4,1924
6.3961143,12.555256,4,1925
-0.60867536,13.348162,0,1931
0.074719906,13.504584,4,1932
6.702558,13.450963,4,1933
5.811795,14.637433,4,1934
5.9825435,13.89581,4,1935
-0.65926343,4.3508725,0,2011
-12.161455,9.177033,0,2012
-12.235641,10.065438,0,2013
-14.016327,9.961897,0,2022
-2.5648327,14.23059,0,2023
-13.516323,7.549567,0,2024
-12.581839,8.103257,0,2031
-11.663579,11.799614,0,2032
-13.409091,9.570264,0,2033
-1.1948624,7.6732354,0,2211
4.015464,3.9723158,4,2212
-8.159036,9.725062,0,2213
-3.406681,7.1054206,0,2221
1.6253556,-2.9905658,3,2222
3.4733894,-1.3854765,3,2223
1.5994124,-3.5574622,3,2232
-1.3172506,2.0369103,0,2233
4.6198773,-1.3893074,3,2234
0.34500653,5.4140496,0,2411
-0.49810642,3.6759665,0,2412
5.2385364,2.1114187,4,2413
4.0031266,-1.5412642,3,2422
-9.870058,6.9178348,0,2423
-6.0333366,1.3819865,0,2424
-12.655149,7.706136,0,2431
-4.055169,3.1531155,0,2432
-2.2452908,7.641874,0,2433
-11.53103,7.1243925,0,2511
7.098237,10.183988,4,2512
-9.080121,9.817461,0,2513
-2.9169858,-1.6720105,0,2514
3.3337045,-7.0211997,3,2515
5.3666615,1.0464797,3,2521
-3.599088,-2.2361624,0,2522
-6.2166348,1.9478297,0,2523
-7.606805,4.418604,0,2524
-10.405475,5.366175,0,2525
-3.609933,-11.2918415,3,2531
0.21058342,-11.437193,3,2532
11.691337,11.583069,4,2533
1.7777243,-11.480398,3,2534
-4.728219,-10.8211355,3,2535
