beat,crime_category,primary_type,neighborhood,count
111,Property Crimes,THEFT,Douglas / Loop,18684
112,Property Crimes,THEFT,Douglas / Loop,16989
113,Property Crimes,THEFT,Douglas / Loop,10237
114,Property Crimes,THEFT,Douglas / Loop,5966
121,Property Crimes,THEFT,Douglas / Loop,3853
122,Property Crimes,THEFT,Douglas / Loop,23508
123,Property Crimes,THEFT,Douglas / Loop,16034
124,Property Crimes,THEFT,Douglas / Loop,10867
131,Property Crimes,THEFT,Douglas / Loop,11563
132,Property Crimes,THEFT,Douglas / Loop,13100
133,Property Crimes,THEFT,Douglas / Loop,6538
134,Property Crimes,CRIMINAL TRESPASS,Douglas / Loop,4996
211,Violent Crimes,BATTERY,Douglas / Englewood,5377
212,Violent Crimes,BATTERY,Douglas / Englewood,6535
213,Violent Crimes,BATTERY,Douglas / Englewood,4412
214,Violent Crimes,BATTERY,Douglas / Englewood,3712
215,Violent Crimes,BATTERY,Douglas / Englewood,1458
221,Violent Crimes,BATTERY,Douglas / Englewood,4218
222,Property Crimes,THEFT,Douglas / Englewood,5696
223,Property Crimes,THEFT,Douglas / Englewood,4534
224,Violent Crimes,BATTERY,Douglas / Englewood,4495
225,Violent Crimes,BATTERY,Douglas / Englewood,1682
231,Violent Crimes,BATTERY,Douglas / Englewood,4471
232,Violent Crimes,BATTERY,Douglas / Englewood,5280
233,Violent Crimes,BATTERY,Douglas / Englewood,5358
234,Property Crimes,THEFT,Douglas / Englewood,6107
235,Property Crimes,THEFT,Douglas / Englewood,1976
310,Drug Offenses,NARCOTICS,Grand Crossing / Jackson Park,2
311,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,5121
312,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,9710
313,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,7934
314,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,5267
321,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,10354
322,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,7082
323,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,7803
324,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,9377
331,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,7888
332,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,7954
333,Property Crimes,THEFT,Grand Crossing / Jackson Park,6286
334,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,6853
411,Property Crimes,THEFT,Avalon Park / Burnside,7349
412,Property Crimes,THEFT,Avalon Park / Burnside,7796
413,Violent Crimes,BATTERY,Avalon Park / Burnside,6210
414,Violent Crimes,BATTERY,Avalon Park / Burnside,10042
421,Violent Crimes,BATTERY,Avalon Park / Burnside,15468
422,Violent Crimes,BATTERY,Avalon Park / Burnside,7250
423,Violent Crimes,BATTERY,Avalon Park / Burnside,13507
424,Violent Crimes,BATTERY,Avalon Park / Burnside,8780
430,Property Crimes,THEFT,Avalon Park / Burnside,5
431,Violent Crimes,BATTERY,Avalon Park / Burnside,6624
432,Property Crimes,CRIMINAL DAMAGE,Avalon Park / Burnside,6403
433,Violent Crimes,BATTERY,Avalon Park / Burnside,4655
434,Violent Crimes,BATTERY,Avalon Park / Burnside,3161
511,Violent Crimes,BATTERY,Burnside / Pullman,10693
512,Violent Crimes,BATTERY,Burnside / Pullman,10484
513,Violent Crimes,BATTERY,Burnside / Pullman,9250
522,Violent Crimes,BATTERY,Burnside / Pullman,10383
523,Violent Crimes,BATTERY,Burnside / Pullman,8635
524,Violent Crimes,BATTERY,Burnside / Pullman,7662
