day_of_week,district,neighborhood,specific_count,crime_category,total_count,crime_rate
Friday,1,Douglas / Loop,8676,Violent Crimes,340060,0.025513144739163676
Friday,2,Douglas / Englewood,14183,Violent Crimes,340060,0.0417073457625125
Friday,3,Grand Crossing / Jackson Park,20589,Violent Crimes,340060,0.06054519790625184
Friday,4,Avalon Park / Burnside,21997,Violent Crimes,340060,0.06468564370993354
Friday,5,Burnside / Pullman,18174,Violent Crimes,340060,0.05344350996882903
Friday,6,Auburn Gresham / Chatham,22877,Violent Crimes,340060,0.0672734223372346
Friday,7,Englewood / Grand Crossing,24953,Violent Crimes,340060,0.07337822737164029
Friday,8,Archer Heights / Ashburn,22061,Violent Crimes,340060,0.06487384579191907
Friday,9,Armour Square / Bridgeport,16973,Violent Crimes,340060,0.049911780274069284
Friday,10,Little Village / Lower West Side,16377,Violent Crimes,340060,0.04815914838557901
Friday,11,Austin / Garfield Park,23038,Violent Crimes,340060,0.06774686819972946
Friday,12,East Village / Garfield Park,10634,Violent Crimes,340060,0.031270952184908545
Friday,13,East Village / Garfield Park,4457,Violent Crimes,340060,0.013106510615773687
Friday,14,Avondale / Bucktown,10832,Violent Crimes,340060,0.031853202376051284
Friday,15,Austin,16174,Violent Crimes,340060,0.04756219490678116
Friday,16,Dunning / Edison Park,8655,Violent Crimes,340060,0.025451390931012174
Friday,17,Albany Park / Avondale,8323,Violent Crimes,340060,0.024475092630712226
Friday,18,Lincoln Park / Magnificent Mile,10363,Violent Crimes,340060,0.03047403399400106
Friday,19,Lake View / Lincoln Park,7640,Violent Crimes,340060,0.02246662353702288
Friday,20,Andersonville / Edgewater,5649,Violent Crimes,340060,0.01661177439275422
Friday,21,Chinatown / Douglas,4440,Violent Crimes,340060,0.01305651943774628
Friday,22,Auburn Gresham / Beverly,11364,Violent Crimes,340060,0.03341763218255602
Friday,23,Boystown / Lake View,3231,Violent Crimes,340060,0.00950126448273834
Friday,24,Edgewater / Rogers Park,9738,Violent Crimes,340060,0.0286361230371111
Friday,25,Austin / Avondale,18662,Violent Crimes,340060,0.05487855084396871
Monday,1,Douglas / Loop,8025,Violent Crimes,329361,0.024365362019182598
Monday,2,Douglas / Englewood,14097,Violent Crimes,329361,0.04280106023481833
Monday,3,Grand Crossing / Jackson Park,20525,Violent Crimes,329361,0.062317639307629014
Monday,4,Avalon Park / Burnside,21607,Violent Crimes,329361,0.06560278842971694
Monday,5,Burnside / Pullman,18302,Violent Crimes,329361,0.0555682063146517
Monday,6,Auburn Gresham / Chatham,22426,Violent Crimes,329361,0.06808942163765594
Monday,7,Englewood / Grand Crossing,24333,Violent Crimes,329361,0.07387942106078133
Monday,8,Archer Heights / Ashburn,21113,Violent Crimes,329361,0.06410291443127754
Monday,9,Armour Square / Bridgeport,15977,Violent Crimes,329361,0.04850908273900067
Monday,10,Little Village / Lower West Side,16461,Violent Crimes,329361,0.04997859491560932
Monday,11,Austin / Garfield Park,22320,Violent Crimes,329361,0.06776758632624992
Monday,12,East Village / Garfield Park,9978,Violent Crimes,329361,0.030295025822729468
Monday,13,East Village / Garfield Park,4046,Violent Crimes,329361,0.012284393112724336
Monday,14,Avondale / Bucktown,10424,Violent Crimes,329361,0.031649163076381236
Monday,15,Austin,15625,Violent Crimes,329361,0.04744034661055802
Monday,16,Dunning / Edison Park,8196,Violent Crimes,329361,0.024884549172488547
Monday,17,Albany Park / Avondale,8314,Violent Crimes,329361,0.02524281867009148
Monday,18,Lincoln Park / Magnificent Mile,8649,Violent Crimes,329361,0.026259939701421844
Monday,19,Lake View / Lincoln Park,7042,Violent Crimes,329361,0.021380794933219174
Monday,20,Andersonville / Edgewater,5470,Violent Crimes,329361,0.016607916541424152
Monday,21,Chinatown / Douglas,4257,Violent Crimes,329361,0.012925027553353311
Monday,22,Auburn Gresham / Beverly,10912,Violent Crimes,329361,0.03313081998172218
Monday,23,Boystown / Lake View,3130,Violent Crimes,329361,0.009503250233026983
Monday,24,Edgewater / Rogers Park,9759,Violent Crimes,329361,0.029630101924635884
Monday,25,Austin / Avondale,18373,Violent Crimes,329361,0.05578377524965008
Saturday,1,Douglas / Loop,8079,Violent Crimes,358715,0.022522057901119275
Saturday,2,Douglas / Englewood,14444,Violent Crimes,358715,0.04026594929122005
Saturday,3,Grand Crossing / Jackson Park,20871,Violent Crimes,358715,0.058182679843329664
Saturday,4,Avalon Park / Burnside,22187,Violent Crimes,358715,0.061851330443388204
Saturday,5,Burnside / Pullman,18209,Violent Crimes,358715,0.05076174679062766
Saturday,6,Auburn Gresham / Chatham,23896,Violent Crimes,358715,0.06661555831230921
Saturday,7,Englewood / Grand Crossing,25552,Violent Crimes,358715,0.07123203657499687
Saturday,8,Archer Heights / Ashburn,22645,Violent Crimes,358715,0.063128110059518
Saturday,9,Armour Square / Bridgeport,18228,Violent Crimes,358715,0.050814713630598106
Saturday,10,Little Village / Lower West Side,18854,Violent Crimes,358715,0.052559831621203465
Saturday,11,Austin / Garfield Park,24224,Violent Crimes,358715,0.06752993323390435
Saturday,12,East Village / Garfield Park,11018,Violent Crimes,358715,0.03071519172602205
Saturday,13,East Village / Garfield Park,4521,Violent Crimes,358715,0.012603320184547621
Saturday,14,Avondale / Bucktown,12826,Violent Crimes,358715,0.0357554047084733
Saturday,15,Austin,17178,Violent Crimes,358715,0.047887598790125864
Saturday,16,Dunning / Edison Park,9294,Violent Crimes,358715,0.02590914793080858
Saturday,17,Albany Park / Avondale,8806,Violent Crimes,358715,0.02454873646209386
Saturday,18,Lincoln Park / Magnificent Mile,13055,Violent Crimes,358715,0.0363937945165382
Saturday,19,Lake View / Lincoln Park,9528,Violent Crimes,358715,0.026561476380970967
Saturday,20,Andersonville / Edgewater,5603,Violent Crimes,358715,0.015619642334443778
Saturday,21,Chinatown / Douglas,4165,Violent Crimes,358715,0.011610888867206556
Saturday,22,Auburn Gresham / Beverly,10742,Violent Crimes,358715,0.029945778682240777
Saturday,23,Boystown / Lake View,3692,Violent Crimes,358715,0.0102922933247843
Saturday,24,Edgewater / Rogers Park,10209,Violent Crimes,358715,0.028459919434648675
Saturday,25,Austin / Avondale,20889,Violent Crimes,358715,0.05823285895488062
Sunday,1,Douglas / Loop,7886,Violent Crimes,368605,0.021394175336742583
Sunday,2,Douglas / Englewood,14227,Violent Crimes,368605,0.038596871990341966
Sunday,3,Grand Crossing / Jackson Park,21240,Violent Crimes,368605,0.05762265840126965
Sunday,4,Avalon Park / Burnside,22756,Violent Crimes,368605,0.06173546208000434
Sunday,5,Burnside / Pullman,18335,Violent Crimes,368605,0.04974159330448583
Sunday,6,Auburn Gresham / Chatham,23571,Violent Crimes,368605,0.0639465009970022
Sunday,7,Englewood / Grand Crossing,25605,Violent Crimes,368605,0.06946460303034413
Sunday,8,Archer Heights / Ashburn,23753,Violent Crimes,368605,0.0644402544729453
Sunday,9,Armour Square / Bridgeport,19479,Violent Crimes,368605,0.052845186581842354
Sunday,10,Little Village / Lower West Side,19601,Violent Crimes,368605,0.053176164186595404
Sunday,11,Austin / Garfield Park,24079,Violent Crimes,368605,0.06532467003974445
Sunday,12,East Village / Garfield Park,11843,Violent Crimes,368605,0.03212924404172488
Sunday,13,East Village / Garfield Park,4555,Violent Crimes,368605,0.01235740155450957
Sunday,14,Avondale / Bucktown,13534,Violent Crimes,368605,0.03671681067809715
Sunday,15,Austin,17571,Violent Crimes,368605,0.047668913877999486
Sunday,16,Dunning / Edison Park,10454,Violent Crimes,368605,0.02836098262367575
Sunday,17,Albany Park / Avondale,9717,Violent Crimes,368605,0.026361552339224915
Sunday,18,Lincoln Park / Magnificent Mile,13578,Violent Crimes,368605,0.03683617965030317
Sunday,19,Lake View / Lincoln Park,9648,Violent Crimes,368605,0.026174360087356383
Sunday,20,Andersonville / Edgewater,5684,Violent Crimes,368605,0.015420300864068584
Sunday,21,Chinatown / Douglas,4026,Violent Crimes,368605,0.010922260956850829
Sunday,22,Auburn Gresham / Beverly,11153,Violent Crimes,368605,0.030257321523039567
Sunday,23,Boystown / Lake View,3800,Violent Crimes,368605,0.010309138508701727
Sunday,24,Edgewater / Rogers Park,10586,Violent Crimes,368605,0.02871908954029381
Sunday,25,Austin / Avondale,21924,Violent Crimes,368605,0.05947830333283596
Thursday,1,Douglas / Loop,8398,Violent Crimes,328088,0.025596791104825534
Thursday,2,Douglas / Englewood,14217,Violent Crimes,328088,0.04333288629879788
Thursday,3,Grand Crossing / Jackson Park,20204,Violent Crimes,328088,0.06158103923337641
Thursday,4,Avalon Park / Burnside,21822,Violent Crimes,328088,0.06651264294945258
Thursday,5,Burnside / Pullman,18154,Violent Crimes,328088,0.055332715612884345
Thursday,6,Auburn Gresham / Chatham,22290,Violent Crimes,328088,0.0679390895125698
Thursday,7,Englewood / Grand Crossing,24271,Violent Crimes,328088,0.07397710370388433
Thursday,8,Archer Heights / Ashburn,20799,Violent Crimes,328088,0.06339457706468996
Thursday,9,Armour Square / Bridgeport,15960,Violent Crimes,328088,0.04864548535758699
Thursday,10,Little Village / Lower West Side,15932,Violent Crimes,328088,0.048560142400819295
Thursday,11,Austin / Garfield Park,22476,Violent Crimes,328088,0.06850601058252664
Thursday,12,East Village / Garfield Park,10241,Violent Crimes,328088,0.031214186437784983
Thursday,13,East Village / Garfield Park,4226,Violent Crimes,328088,0.01288069054643876
Thursday,14,Avondale / Bucktown,10172,Violent Crimes,328088,0.031003877008607447
Thursday,15,Austin,15847,Violent Crimes,328088,0.0483010655677745
Thursday,16,Dunning / Edison Park,8044,Violent Crimes,328088,0.024517812294262514
Thursday,17,Albany Park / Avondale,7963,Violent Crimes,328088,0.024270927312184536
Thursday,18,Lincoln Park / Magnificent Mile,9023,Violent Crimes,328088,0.02750176781839019
Thursday,19,Lake View / Lincoln Park,6900,Violent Crimes,328088,0.021030942917753773
Thursday,20,Andersonville / Edgewater,5397,Violent Crimes,328088,0.016449854916973494
Thursday,21,Chinatown / Douglas,4395,Violent Crimes,328088,0.013395796249786643
Thursday,22,Auburn Gresham / Beverly,11064,Violent Crimes,328088,0.03372265977420692
Thursday,23,Boystown / Lake View,3112,Violent Crimes,328088,0.009485260052181123
Thursday,24,Edgewater / Rogers Park,9290,Violent Crimes,328088,0.028315573870425007
Thursday,25,Austin / Avondale,17891,Violent Crimes,328088,0.05453110141181634
Tuesday,1,Douglas / Loop,8420,Violent Crimes,328423,0.02563766849459386
Tuesday,2,Douglas / Englewood,14319,Violent Crimes,328423,0.04359926070951182
Tuesday,3,Grand Crossing / Jackson Park,20607,Violent Crimes,328423,0.06274530102946504
Tuesday,4,Avalon Park / Burnside,22136,Violent Crimes,328423,0.06740088239861398
Tuesday,5,Burnside / Pullman,18163,Violent Crimes,328423,0.05530367848780384
Tuesday,6,Auburn Gresham / Chatham,22335,Violent Crimes,328423,0.06800680829296364
Tuesday,7,Englewood / Grand Crossing,24848,Violent Crimes,328423,0.07565852574271595
Tuesday,8,Archer Heights / Ashburn,20754,Violent Crimes,328423,0.06319289452931129
Tuesday,9,Armour Square / Bridgeport,16041,Violent Crimes,328423,0.04884249885056771
Tuesday,10,Little Village / Lower West Side,15773,Violent Crimes,328423,0.04802647804812696
Tuesday,11,Austin / Garfield Park,22740,Violent Crimes,328423,0.06923997405784613
Tuesday,12,East Village / Garfield Park,9928,Violent Crimes,328423,0.030229307935193333
Tuesday,13,East Village / Garfield Park,4245,Violent Crimes,328423,0.0129254041282127
Tuesday,14,Avondale / Bucktown,10042,Violent Crimes,328423,0.0305764212616047
Tuesday,15,Austin,16030,Violent Crimes,328423,0.04880900545942276
Tuesday,16,Dunning / Edison Park,8082,Violent Crimes,328423,0.024608507930321568
Tuesday,17,Albany Park / Avondale,8125,Violent Crimes,328423,0.02473943664116094
Tuesday,18,Lincoln Park / Magnificent Mile,8225,Violent Crimes,328423,0.025043922015206
Tuesday,19,Lake View / Lincoln Park,6566,Violent Crimes,328423,0.019992509659798492
Tuesday,20,Andersonville / Edgewater,5374,Violent Crimes,328423,0.016363044001181402
Tuesday,21,Chinatown / Douglas,4527,Violent Crimes,328423,0.013784052883019765
Tuesday,22,Auburn Gresham / Beverly,10929,Violent Crimes,328423,0.03327720652938436
Tuesday,23,Boystown / Lake View,3035,Violent Crimes,328423,0.009241131102267503
Tuesday,24,Edgewater / Rogers Park,9419,Violent Crimes,328423,0.02867947738130399
Tuesday,25,Austin / Avondale,17760,Violent Crimes,328423,0.05407660243040226
Wednesday,1,Douglas / Loop,8459,Violent Crimes,330281,0.025611524731970654
Wednesday,2,Douglas / Englewood,14294,Violent Crimes,330281,0.04327829938749126
Wednesday,3,Grand Crossing / Jackson Park,20372,Violent Crimes,330281,0.06168081118804897
Wednesday,4,Avalon Park / Burnside,22025,Violent Crimes,330281,0.0666856404092273
Wednesday,5,Burnside / Pullman,18399,Violent Crimes,330281,0.05570711000632794
Wednesday,6,Auburn Gresham / Chatham,22471,Violent Crimes,330281,0.06803600570423367
Wednesday,7,Englewood / Grand Crossing,24807,Violent Crimes,330281,0.0751087710161953
Wednesday,8,Archer Heights / Ashburn,20771,Violent Crimes,330281,0.06288887341385063
Wednesday,9,Armour Square / Bridgeport,15959,Violent Crimes,330281,0.04831946130718994
Wednesday,10,Little Village / Lower West Side,15950,Violent Crimes,330281,0.04829221178329968
Wednesday,11,Austin / Garfield Park,22860,Violent Crimes,330281,0.06921379068126837
Wednesday,12,East Village / Garfield Park,10281,Violent Crimes,330281,0.031128039457310592
Wednesday,13,East Village / Garfield Park,4364,Violent Crimes,330281,0.013212991361900926
Wednesday,14,Avondale / Bucktown,10389,Violent Crimes,330281,0.03145503374399375
Wednesday,15,Austin,15959,Violent Crimes,330281,0.04831946130718994
Wednesday,16,Dunning / Edison Park,8146,Violent Crimes,330281,0.024663846845564837
Wednesday,17,Albany Park / Avondale,7845,Violent Crimes,330281,0.02375250165767937
Wednesday,18,Lincoln Park / Magnificent Mile,8599,Violent Crimes,330281,0.02603540621470808
Wednesday,19,Lake View / Lincoln Park,6702,Violent Crimes,330281,0.02029181212361595
Wednesday,20,Andersonville / Edgewater,5551,Violent Crimes,330281,0.016806900790538964
Wednesday,21,Chinatown / Douglas,4466,Violent Crimes,330281,0.013521819299323909
Wednesday,22,Auburn Gresham / Beverly,11148,Violent Crimes,330281,0.03375307692540594
Wednesday,23,Boystown / Lake View,3109,Violent Crimes,330281,0.009413196641647567
Wednesday,24,Edgewater / Rogers Park,9525,Violent Crimes,330281,0.02883907945052849
Wednesday,25,Austin / Avondale,17830,Violent Crimes,330281,0.053984334551487975
Friday,1,Douglas / Loop,121,Crimes Against Children,9893,0.01223087031234206
Friday,2,Douglas / Englewood,361,Crimes Against Children,9893,0.03649044779136763
Friday,3,Grand Crossing / Jackson Park,669,Crimes Against Children,9893,0.06762357222278378
Friday,4,Avalon Park / Burnside,890,Crimes Against Children,9893,0.08996259981805317
Friday,5,Burnside / Pullman,565,Crimes Against Children,9893,0.05711108864853937
Friday,6,Auburn Gresham / Chatham,694,Crimes Against Children,9893,0.07015061154351562
Friday,7,Englewood / Grand Crossing,531,Crimes Against Children,9893,0.053674315172344084
Friday,8,Archer Heights / Ashburn,884,Crimes Against Children,9893,0.08935611038107753
Friday,9,Armour Square / Bridgeport,516,Crimes Against Children,9893,0.05215809157990498
Friday,10,Little Village / Lower West Side,440,Crimes Against Children,9893,0.04447589204488022
Friday,11,Austin / Garfield Park,517,Crimes Against Children,9893,0.052259173152734255
Friday,12,East Village / Garfield Park,284,Crimes Against Children,9893,0.028707166683513596
Friday,13,East Village / Garfield Park,77,Crimes Against Children,9893,0.007783281107854039
