hour,district,neighborhood,specific_count,crime_category,total_count,crime_rate
0,1,Douglas / Loop,2494,Violent Crimes,116925,0.02132991233696814
0,2,Douglas / Englewood,4635,Violent Crimes,116925,0.03964079538165491
0,3,Grand Crossing / Jackson Park,6990,Violent Crimes,116925,0.059781911481719054
0,4,Avalon Park / Burnside,7375,Violent Crimes,116925,0.06307462048321574
0,5,Burnside / Pullman,6033,Violent Crimes,116925,0.051597177677998714
0,6,Auburn Gresham / Chatham,7946,Violent Crimes,116925,0.0679580927945264
0,7,Englewood / Grand Crossing,8880,Violent Crimes,116925,0.07594611930724823
0,8,Archer Heights / Ashburn,7000,Violent Crimes,116925,0.059867436390848836
0,9,Armour Square / Bridgeport,5731,Violent Crimes,116925,0.04901432542227924
0,10,Little Village / Lower West Side,6023,Violent Crimes,116925,0.05151165276886893
0,11,Austin / Garfield Park,7885,Violent Crimes,116925,0.06743639084883472
0,12,East Village / Garfield Park,3756,Violent Crimes,116925,0.03212315586914689
0,13,East Village / Garfield Park,1410,Violent Crimes,116925,0.012059012187299552
0,14,Avondale / Bucktown,4261,Violent Crimes,116925,0.03644216378020099
0,15,Austin,5849,Violent Crimes,116925,0.05002351935001069
0,16,Dunning / Edison Park,2898,Violent Crimes,116925,0.024785118665811418
0,17,Albany Park / Avondale,2994,Violent Crimes,116925,0.025606157793457346
0,18,Lincoln Park / Magnificent Mile,4279,Violent Crimes,116925,0.03659610861663459
0,19,Lake View / Lincoln Park,3092,Violent Crimes,116925,0.026444301902929228
0,20,Andersonville / Edgewater,1826,Violent Crimes,116925,0.015616848407098568
0,21,Chinatown / Douglas,1330,Violent Crimes,116925,0.01137481291426128
0,22,Auburn Gresham / Beverly,3417,Violent Crimes,116925,0.02922386144964721
0,23,Boystown / Lake View,1218,Violent Crimes,116925,0.010416933932007696
0,24,Edgewater / Rogers Park,3249,Violent Crimes,116925,0.027787042976266836
0,25,Austin / Avondale,6354,Violent Crimes,116925,0.05434252726106478
1,1,Douglas / Loop,2199,Violent Crimes,101065,0.021758274377875624
1,2,Douglas / Englewood,3874,Violent Crimes,101065,0.038331766684806805
1,3,Grand Crossing / Jackson Park,6078,Violent Crimes,101065,0.06013951417404641
1,4,Avalon Park / Burnside,6017,Violent Crimes,101065,0.059535942215405924
1,5,Burnside / Pullman,4801,Violent Crimes,101065,0.04750408153168753
1,6,Auburn Gresham / Chatham,6935,Violent Crimes,101065,0.06861920546183149
1,7,Englewood / Grand Crossing,7552,Violent Crimes,101065,0.07472418740414585
1,8,Archer Heights / Ashburn,5555,Violent Crimes,101065,0.054964626725374756
1,9,Armour Square / Bridgeport,4767,Violent Crimes,101065,0.047167664374412506
1,10,Little Village / Lower West Side,5029,Violent Crimes,101065,0.04976005540988473
1,11,Austin / Garfield Park,6651,Violent Crimes,101065,0.06580913273635779
1,12,East Village / Garfield Park,3478,Violent Crimes,101065,0.034413496264780095
1,13,East Village / Garfield Park,1369,Violent Crimes,101065,0.013545737891455994
1,14,Avondale / Bucktown,3973,Violent Crimes,101065,0.03931133428981349
1,15,Austin,5010,Violent Crimes,101065,0.04957205758670163
1,16,Dunning / Edison Park,2352,Violent Crimes,101065,0.02327215158561322
1,17,Albany Park / Avondale,2491,Violent Crimes,101065,0.02464750408153169
1,18,Lincoln Park / Magnificent Mile,5062,Violent Crimes,101065,0.050086577944886954
1,19,Lake View / Lincoln Park,3321,Violent Crimes,101065,0.03286004056795132
1,20,Andersonville / Edgewater,1494,Violent Crimes,101065,0.014782565675555335
1,21,Chinatown / Douglas,1190,Violent Crimes,101065,0.011774600504625737
1,22,Auburn Gresham / Beverly,2769,Violent Crimes,101065,0.027398209073368623
1,23,Boystown / Lake View,1218,Violent Crimes,101065,0.01205164992826399
1,24,Edgewater / Rogers Park,2773,Violent Crimes,101065,0.027437787562459803
1,25,Austin / Avondale,5107,Violent Crimes,101065,0.05053183594716272
2,1,Douglas / Loop,1898,Violent Crimes,89290,0.02125657968417516
2,2,Douglas / Englewood,3267,Violent Crimes,89290,0.036588643745100236
2,3,Grand Crossing / Jackson Park,5042,Violent Crimes,89290,0.056467689550901555
2,4,Avalon Park / Burnside,5184,Violent Crimes,89290,0.05805801321536566
2,5,Burnside / Pullman,4010,Violent Crimes,89290,0.04490984432747228
2,6,Auburn Gresham / Chatham,5766,Violent Crimes,89290,0.06457610034718334
2,7,Englewood / Grand Crossing,6339,Violent Crimes,89290,0.07099339231716878
2,8,Archer Heights / Ashburn,4888,Violent Crimes,89290,0.054742972337327805
2,9,Armour Square / Bridgeport,4008,Violent Crimes,89290,0.04488744540262067
2,10,Little Village / Lower West Side,4418,Violent Crimes,89290,0.04947922499720014
2,11,Austin / Garfield Park,5651,Violent Crimes,89290,0.06328816216821592
2,12,East Village / Garfield Park,3203,Violent Crimes,89290,0.03587187814984881
2,13,East Village / Garfield Park,1331,Violent Crimes,89290,0.01490648448874454
2,14,Avondale / Bucktown,3936,Violent Crimes,89290,0.04408108410796282
2,15,Austin,4165,Violent Crimes,89290,0.046645761003471835
2,16,Dunning / Edison Park,2086,Violent Crimes,89290,0.02336207862022623
2,17,Albany Park / Avondale,2451,Violent Crimes,89290,0.02744988240564453
2,18,Lincoln Park / Magnificent Mile,5418,Violent Crimes,89290,0.0606786874230037
2,19,Lake View / Lincoln Park,3260,Violent Crimes,89290,0.03651024750811961
2,20,Andersonville / Edgewater,1336,Violent Crimes,89290,0.014962481800873558
2,21,Chinatown / Douglas,1051,Violent Crimes,89290,0.011770635009519543
2,22,Auburn Gresham / Beverly,2380,Violent Crimes,89290,0.026654720573412477
2,23,Boystown / Lake View,1207,Violent Crimes,89290,0.013517751147944899
2,24,Edgewater / Rogers Park,2367,Violent Crimes,89290,0.02650912756187703
2,25,Austin / Avondale,4628,Violent Crimes,89290,0.05183111210661888
3,1,Douglas / Loop,1485,Violent Crimes,72149,0.020582405854550997
3,2,Douglas / Englewood,2481,Violent Crimes,72149,0.034387170993360965
3,3,Grand Crossing / Jackson Park,4065,Violent Crimes,72149,0.05634173723821536
3,4,Avalon Park / Burnside,3953,Violent Crimes,72149,0.054789394170397375
3,5,Burnside / Pullman,3034,Violent Crimes,72149,0.042051864890712276
3,6,Auburn Gresham / Chatham,4738,Violent Crimes,72149,0.06566965585108595
3,7,Englewood / Grand Crossing,5158,Violent Crimes,72149,0.0714909423554034
3,8,Archer Heights / Ashburn,4039,Violent Crimes,72149,0.055981371883186186
3,9,Armour Square / Bridgeport,3264,Violent Crimes,72149,0.04523971226212421
3,10,Little Village / Lower West Side,3471,Violent Crimes,72149,0.04810877489639496
3,11,Austin / Garfield Park,4707,Violent Crimes,72149,0.06523998946624347
3,12,East Village / Garfield Park,2421,Violent Crimes,72149,0.03355555863560133
3,13,East Village / Garfield Park,1097,Violent Crimes,72149,0.015204645941038684
3,14,Avondale / Bucktown,3415,Violent Crimes,72149,0.047332603362485966
3,15,Austin,3344,Violent Crimes,72149,0.046348528739137064
3,16,Dunning / Edison Park,1693,Violent Crimes,72149,0.023465328694784404
3,17,Albany Park / Avondale,1890,Violent Crimes,72149,0.026195789269428543
3,18,Lincoln Park / Magnificent Mile,5079,Violent Crimes,72149,0.07039598608435321
3,19,Lake View / Lincoln Park,2574,Violent Crimes,72149,0.035676170147888396
3,20,Andersonville / Edgewater,1115,Violent Crimes,72149,0.015454129648366574
3,21,Chinatown / Douglas,766,Violent Crimes,72149,0.010616917767398024
3,22,Auburn Gresham / Beverly,1748,Violent Crimes,72149,0.02422764002273074
3,23,Boystown / Lake View,1036,Violent Crimes,72149,0.014359173377316388
3,24,Edgewater / Rogers Park,1926,Violent Crimes,72149,0.026694756684084324
3,25,Austin / Avondale,3650,Violent Crimes,72149,0.05058975176371121
4,1,Douglas / Loop,1160,Violent Crimes,53002,0.021885966567299346
4,2,Douglas / Englewood,1911,Violent Crimes,53002,0.03605524319836987
4,3,Grand Crossing / Jackson Park,3065,Violent Crimes,53002,0.05782800649032112
4,4,Avalon Park / Burnside,3048,Violent Crimes,53002,0.05750726387683484
4,5,Burnside / Pullman,2277,Violent Crimes,53002,0.042960642994603976
