weekday,beat,neighborhood,specific_count,crime_category,total_count,crime_rate
Friday,111,Douglas / Loop,822,Violent Crimes,340060,0.002417220490501676
Friday,112,Douglas / Loop,682,Violent Crimes,340060,0.002005528436158325
Friday,113,Douglas / Loop,775,Violent Crimes,340060,0.002279009586543551
Friday,114,Douglas / Loop,334,Violent Crimes,340060,0.000982179615361995
Friday,121,Douglas / Loop,233,Violent Crimes,340060,0.0006851732047285773
Friday,122,Douglas / Loop,895,Violent Crimes,340060,0.0026318884902664236
Friday,123,Douglas / Loop,973,Violent Crimes,340060,0.0028612597776862905
Friday,124,Douglas / Loop,637,Violent Crimes,340060,0.0018731988472622477
Friday,131,Douglas / Loop,909,Violent Crimes,340060,0.0026730576957007587
Friday,132,Douglas / Loop,1058,Violent Crimes,340060,0.0031112156678233254
Friday,133,Douglas / Loop,722,Violent Crimes,340060,0.0021231547373992826
Friday,134,Douglas / Loop,636,Violent Crimes,340060,0.0018702581897312239
Friday,211,Douglas / Englewood,1311,Violent Crimes,340060,0.0038552020231723814
Friday,212,Douglas / Englewood,1387,Violent Crimes,340060,0.0040786919955302006
Friday,213,Douglas / Englewood,1022,Violent Crimes,340060,0.0030053519967064637
Friday,214,Douglas / Englewood,836,Violent Crimes,340060,0.002458389695936011
Friday,215,Douglas / Englewood,350,Violent Crimes,340060,0.0010292301358583778
Friday,221,Douglas / Englewood,943,Violent Crimes,340060,0.0027730400517555725
Friday,222,Douglas / Englewood,1199,Violent Crimes,340060,0.0035258483796977
Friday,223,Douglas / Englewood,997,Violent Crimes,340060,0.002931835558430865
Friday,224,Douglas / Englewood,989,Violent Crimes,340060,0.0029083102981826738
Friday,225,Douglas / Englewood,386,Violent Crimes,340060,0.0011350938069752397
Friday,231,Douglas / Englewood,988,Violent Crimes,340060,0.00290536964065165
Friday,232,Douglas / Englewood,1286,Violent Crimes,340060,0.003781685584896783
Friday,233,Douglas / Englewood,1178,Violent Crimes,340060,0.0034640945715461975
Friday,234,Douglas / Englewood,1100,Violent Crimes,340060,0.0032347232841263306
Friday,235,Douglas / Englewood,211,Violent Crimes,340060,0.0006204787390460507
Friday,311,Grand Crossing / Jackson Park,1138,Violent Crimes,340060,0.0033464682703052404
Friday,312,Grand Crossing / Jackson Park,2130,Violent Crimes,340060,0.006263600541080986
Friday,313,Grand Crossing / Jackson Park,1741,Violent Crimes,340060,0.005119684761512674
Friday,314,Grand Crossing / Jackson Park,1325,Violent Crimes,340060,0.0038963712286067165
Friday,321,Grand Crossing / Jackson Park,2311,Violent Crimes,340060,0.006795859554196319
Friday,322,Grand Crossing / Jackson Park,1720,Violent Crimes,340060,0.005057930953361172
Friday,323,Grand Crossing / Jackson Park,1882,Violent Crimes,340060,0.00553431747338705
Friday,324,Grand Crossing / Jackson Park,2127,Violent Crimes,340060,0.006254778568487914
Friday,331,Grand Crossing / Jackson Park,1827,Violent Crimes,340060,0.005372581309180733
Friday,332,Grand Crossing / Jackson Park,1756,Violent Crimes,340060,0.005163794624478034
Friday,333,Grand Crossing / Jackson Park,1223,Violent Crimes,340060,0.003596424160442275
Friday,334,Grand Crossing / Jackson Park,1409,Violent Crimes,340060,0.0041433864612127275
Friday,411,Avalon Park / Burnside,1583,Violent Crimes,340060,0.004655060871610892
Friday,412,Avalon Park / Burnside,1794,Violent Crimes,340060,0.005275539610656943
Friday,413,Avalon Park / Burnside,1488,Violent Crimes,340060,0.004375698406163618
Friday,414,Avalon Park / Burnside,2432,Violent Crimes,340060,0.007151679115450215
Friday,421,Avalon Park / Burnside,3294,Violent Crimes,340060,0.009686525907192848
Friday,422,Avalon Park / Burnside,1588,Violent Crimes,340060,0.004669764159266012
Friday,423,Avalon Park / Burnside,3139,Violent Crimes,340060,0.009230723989884138
Friday,424,Avalon Park / Burnside,1990,Violent Crimes,340060,0.005851908486737635
Friday,430,Avalon Park / Burnside,1,Violent Crimes,340060,2.940657531023937e-06
Friday,431,Avalon Park / Burnside,1587,Violent Crimes,340060,0.004666823501734988
Friday,432,Avalon Park / Burnside,1353,Violent Crimes,340060,0.003978709639475387
Friday,433,Avalon Park / Burnside,1012,Violent Crimes,340060,0.002975945421396224
Friday,434,Avalon Park / Burnside,736,Violent Crimes,340060,0.0021643239428336177
Friday,511,Burnside / Pullman,2616,Violent Crimes,340060,0.007692760101158619
Friday,512,Burnside / Pullman,2462,Violent Crimes,340060,0.007239898841380933
Friday,513,Burnside / Pullman,2033,Violent Crimes,340060,0.005978356760571664
Friday,522,Burnside / Pullman,2235,Violent Crimes,340060,0.006572369581838499
Friday,523,Burnside / Pullman,1914,Violent Crimes,340060,0.005628418514379815
Friday,524,Burnside / Pullman,1790,Violent Crimes,340060,0.005263776980532847
Friday,531,Burnside / Pullman,1540,Violent Crimes,340060,0.004528612597776863
Friday,532,Burnside / Pullman,1274,Violent Crimes,340060,0.0037463976945244955
Friday,533,Burnside / Pullman,2310,Violent Crimes,340060,0.006792918896665294
Friday,611,Auburn Gresham / Chatham,1996,Violent Crimes,340060,0.005869552431923778
Friday,612,Auburn Gresham / Chatham,2462,Violent Crimes,340060,0.007239898841380933
Friday,613,Auburn Gresham / Chatham,1726,Violent Crimes,340060,0.005075574898547315
Friday,614,Auburn Gresham / Chatham,1401,Violent Crimes,340060,0.004119861200964536
Friday,621,Auburn Gresham / Chatham,2550,Violent Crimes,340060,0.0074986767041110396
Friday,622,Auburn Gresham / Chatham,991,Violent Crimes,340060,0.0029141916132447215
Friday,623,Auburn Gresham / Chatham,1944,Violent Crimes,340060,0.005716638240310533
Friday,624,Auburn Gresham / Chatham,3036,Violent Crimes,340060,0.008927836264188672
Friday,631,Auburn Gresham / Chatham,2319,Violent Crimes,340060,0.00681938481444451
Friday,632,Auburn Gresham / Chatham,1926,Violent Crimes,340060,0.005663706404752103
Friday,633,Auburn Gresham / Chatham,1143,Violent Crimes,340060,0.00336117155796036
Friday,634,Auburn Gresham / Chatham,1383,Violent Crimes,340060,0.004066929365406105
Friday,711,Englewood / Grand Crossing,1858,Violent Crimes,340060,0.005463741692642475
Friday,712,Englewood / Grand Crossing,2055,Violent Crimes,340060,0.0060430512262541905
Friday,713,Englewood / Grand Crossing,2129,Violent Crimes,340060,0.0062606598835499615
Friday,714,Englewood / Grand Crossing,1285,Violent Crimes,340060,0.003778744927365759
Friday,715,Englewood / Grand Crossing,1214,Violent Crimes,340060,0.0035699582426630596
Friday,722,Englewood / Grand Crossing,1600,Violent Crimes,340060,0.004705052049638299
Friday,723,Englewood / Grand Crossing,1858,Violent Crimes,340060,0.005463741692642475
Friday,724,Englewood / Grand Crossing,1471,Violent Crimes,340060,0.004325707228136211
Friday,725,Englewood / Grand Crossing,2099,Violent Crimes,340060,0.006172440157619244
Friday,726,Englewood / Grand Crossing,1590,Violent Crimes,340060,0.0046756454743280594
Friday,731,Englewood / Grand Crossing,1565,Violent Crimes,340060,0.004602129036052461
Friday,732,Englewood / Grand Crossing,1457,Violent Crimes,340060,0.004284538022701876
Friday,733,Englewood / Grand Crossing,1777,Violent Crimes,340060,0.005225548432629536
Friday,734,Englewood / Grand Crossing,1341,Violent Crimes,340060,0.0039434217491031
Friday,735,Englewood / Grand Crossing,1654,Violent Crimes,340060,0.004863847556313592
Friday,811,Archer Heights / Ashburn,817,Violent Crimes,340060,0.0024025172028465567
Friday,812,Archer Heights / Ashburn,726,Violent Crimes,340060,0.002134917367523378
Friday,813,Archer Heights / Ashburn,1309,Violent Crimes,340060,0.0038493207081103336
Friday,814,Archer Heights / Ashburn,1049,Violent Crimes,340060,0.00308474975004411
Friday,815,Archer Heights / Ashburn,1211,Violent Crimes,340060,0.0035611362700699875
Friday,821,Archer Heights / Ashburn,848,Violent Crimes,340060,0.0024936775863082985
Friday,822,Archer Heights / Ashburn,1300,Violent Crimes,340060,0.003822854790331118
Friday,823,Archer Heights / Ashburn,2401,Violent Crimes,340060,0.0070605187319884724
Friday,824,Archer Heights / Ashburn,1641,Violent Crimes,340060,0.004825619008410281
Friday,825,Archer Heights / Ashburn,2249,Violent Crimes,340060,0.006613538787272834
Friday,831,Archer Heights / Ashburn,2141,Violent Crimes,340060,0.006295947773922249
Friday,832,Archer Heights / Ashburn,1996,Violent Crimes,340060,0.005869552431923778
Friday,833,Archer Heights / Ashburn,1153,Violent Crimes,340060,0.0033905781332705994
Friday,834,Archer Heights / Ashburn,1659,Violent Crimes,340060,0.0048785508439687115
Friday,835,Archer Heights / Ashburn,1561,Violent Crimes,340060,0.004590366405928366
Friday,911,Armour Square / Bridgeport,940,Violent Crimes,340060,0.002764218079162501
Friday,912,Armour Square / Bridgeport,1374,Violent Crimes,340060,0.00404046344762689
Friday,913,Armour Square / Bridgeport,961,Violent Crimes,340060,0.0028259718873140036
Friday,914,Armour Square / Bridgeport,1205,Violent Crimes,340060,0.003543492324883844
Friday,915,Armour Square / Bridgeport,1329,Violent Crimes,340060,0.003908133858730812
Friday,921,Armour Square / Bridgeport,827,Violent Crimes,340060,0.002431923778156796
Friday,922,Armour Square / Bridgeport,1066,Violent Crimes,340060,0.0031347409280715168
Friday,923,Armour Square / Bridgeport,905,Violent Crimes,340060,0.0026612950655766627
Friday,924,Armour Square / Bridgeport,1138,Violent Crimes,340060,0.0033464682703052404
Friday,925,Armour Square / Bridgeport,868,Violent Crimes,340060,0.0025524907369287773
Friday,931,Armour Square / Bridgeport,1184,Violent Crimes,340060,0.0034817385167323412
Friday,932,Armour Square / Bridgeport,1289,Violent Crimes,340060,0.003790507557489855
Friday,933,Armour Square / Bridgeport,1167,Violent Crimes,340060,0.0034317473387049345
Friday,934,Armour Square / Bridgeport,1432,Violent Crimes,340060,0.004211021584426278
Friday,935,Armour Square / Bridgeport,1288,Violent Crimes,340060,0.003787566899958831
Friday,1011,Little Village / Lower West Side,1991,Violent Crimes,340060,0.005854849144268658
Friday,1012,Little Village / Lower West Side,1304,Violent Crimes,340060,0.003834617420455214
Friday,1013,Little Village / Lower West Side,1273,Violent Crimes,340060,0.0037434570369934716
Friday,1014,Little Village / Lower West Side,1450,Violent Crimes,340060,0.0042639534199847085
Friday,1021,Little Village / Lower West Side,1807,Violent Crimes,340060,0.005313768158560254
Friday,1022,Little Village / Lower West Side,1776,Violent Crimes,340060,0.005222607775098512
Friday,1023,Little Village / Lower West Side,960,Violent Crimes,340060,0.0028230312297829797
Friday,1024,Little Village / Lower West Side,1492,Violent Crimes,340060,0.004387461036287714
Friday,1031,Little Village / Lower West Side,1327,Violent Crimes,340060,0.0039022525436687642
Friday,1032,Little Village / Lower West Side,748,Violent Crimes,340060,0.0021996118332059046
Friday,1033,Little Village / Lower West Side,1013,Violent Crimes,340060,0.002978886078927248
Friday,1034,Little Village / Lower West Side,1236,Violent Crimes,340060,0.003634652708345586
