year,district,neighborhood,specific_count,crime_category,total_count,crime_rate
2001,1,Douglas / Loop,2014,Violent Crimes,147652,0.013640180966055319
2001,2,Douglas / Englewood,7660,Violent Crimes,147652,0.051878741906645355
2001,3,Grand Crossing / Jackson Park,9059,Violent Crimes,147652,0.06135372362040473
2001,4,Avalon Park / Burnside,8803,Violent Crimes,147652,0.05961991710237586
2001,5,Burnside / Pullman,8091,Violent Crimes,147652,0.054797767724108035
2001,6,Auburn Gresham / Chatham,8384,Violent Crimes,147652,0.056782163465445776
2001,7,Englewood / Grand Crossing,11283,Violent Crimes,147652,0.07641616774578062
2001,8,Archer Heights / Ashburn,8338,Violent Crimes,147652,0.056470620106737465
2001,9,Armour Square / Bridgeport,7189,Violent Crimes,147652,0.04868880882074066
2001,10,Little Village / Lower West Side,7116,Violent Crimes,147652,0.04819440305583399
2001,11,Austin / Garfield Park,9036,Violent Crimes,147652,0.06119795194105058
2001,12,East Village / Garfield Park,3670,Violent Crimes,147652,0.024855741879554628
2001,13,East Village / Garfield Park,3383,Violent Crimes,147652,0.02291198222848319
2001,14,Avondale / Bucktown,6496,Violent Crimes,147652,0.0439953403949828
2001,15,Austin,6192,Violent Crimes,147652,0.041936445154823504
2001,16,Dunning / Edison Park,3445,Violent Crimes,147652,0.02333188849456831
2001,17,Albany Park / Avondale,3664,Violent Crimes,147652,0.024815105789288326
2001,18,Lincoln Park / Magnificent Mile,4544,Violent Crimes,147652,0.030775065695012597
2001,19,Lake View / Lincoln Park,2494,Violent Crimes,147652,0.016891068187359467
2001,20,Andersonville / Edgewater,2782,Violent Crimes,147652,0.018841600520141954
2001,21,Chinatown / Douglas,4119,Violent Crimes,147652,0.027896675967816215
2001,22,Auburn Gresham / Beverly,4550,Violent Crimes,147652,0.0308157017852789
2001,23,Boystown / Lake View,2673,Violent Crimes,147652,0.018103378213637472
2001,24,Edgewater / Rogers Park,4357,Violent Crimes,147652,0.02950857421504619
2001,25,Austin / Avondale,8310,Violent Crimes,147652,0.056280985018828056
2002,1,Douglas / Loop,2520,Violent Crimes,148429,0.016977814308524613
2002,2,Douglas / Englewood,6747,Violent Crimes,148429,0.045456076642704596
2002,3,Grand Crossing / Jackson Park,8899,Violent Crimes,148429,0.059954591083952596
2002,4,Avalon Park / Burnside,9211,Violent Crimes,148429,0.06205660618881755
