Year,Primary Type,Annual,Cumulative
2001,ASSAULT,31386,31386
2001,BATTERY,93467,93467
2001,BURGLARY,26014,26014
2001,CRIMINAL DAMAGE,55862,55862
2001,CRIMINAL TRESPASS,13241,13241
2001,DECEPTIVE PRACTICE,14951,14951
2001,MOTOR VEHICLE THEFT,27555,27555
2001,NARCOTICS,50568,50568
2001,OTHER OFFENSE,55148,55148
2001,ROBBERY,18441,18441
2001,THEFT,99281,99281
2002,ASSAULT,31523,62909
2002,BATTERY,94153,187620
2002,BURGLARY,25623,51637
2002,CRIMINAL DAMAGE,55941,111803
2002,CRIMINAL TRESPASS,13881,27122
2002,DECEPTIVE PRACTICE,13737,28688
2002,MOTOR VEHICLE THEFT,25121,52676
2002,NARCOTICS,51789,102357
2002,OTHER OFFENSE,58195,113343
2002,ROBBERY,18523,36964
2002,THEFT,98334,197615
2003,ASSAULT,29477,92386
2003,BATTERY,88380,276000
2003,BURGLARY,25157,76794
2003,CRIMINAL DAMAGE,55011,166814
2003,CRIMINAL TRESPASS,14807,41929
2003,DECEPTIVE PRACTICE,13461,42149
2003,MOTOR VEHICLE THEFT,22749,75425
2003,NARCOTICS,54288,156645
2003,OTHER OFFENSE,56451,169794
2003,ROBBERY,17332,54296
2003,THEFT,98876,296491
2004,ASSAULT,28850,121236
2004,BATTERY,87136,363136
2004,BURGLARY,24564,101358
2004,CRIMINAL DAMAGE,53164,219978
2004,CRIMINAL TRESPASS,15913,57842
2004,DECEPTIVE PRACTICE,13257,55406
2004,MOTOR VEHICLE THEFT,22805,98230
2004,NARCOTICS,57060,213705
2004,OTHER OFFENSE,55240,225034
2004,ROBBERY,15978,70274
2004,THEFT,95464,391955
2005,ASSAULT,27067,148303
2005,BATTERY,83964,447100
2005,BURGLARY,25503,126861
2005,CRIMINAL DAMAGE,54548,274526
2005,CRIMINAL TRESPASS,16655,74497
2005,DECEPTIVE PRACTICE,13592,68998
2005,MOTOR VEHICLE THEFT,22497,120727
2005,NARCOTICS,56234,269939
2005,OTHER OFFENSE,51988,277022
2005,ROBBERY,16047,86321
