"","Beat","Arrest","n","g","arrest_rate_beat"
"1",1834,"false",48194,59140,81.5
"2",421,"false",47006,62838,74.8
"3",423,"false",46525,62075,74.9
"4",511,"false",43477,55399,78.5
"5",624,"false",40930,56878,72
"6",414,"false",40311,50721,79.5
"7",823,"false",39819,53481,74.5
"8",631,"false",37134,46614,79.7
"9",612,"false",36633,48271,75.9
"10",1831,"false",35768,43667,81.9
"11",621,"false",34501,49058,70.3
"12",831,"false",34228,43000,79.6
"13",321,"false",33955,46883,72.4
"14",632,"false",33749,42846,78.8
"15",813,"false",33568,40763,82.3
"16",512,"false",32669,44926,72.7
"17",835,"false",32537,38028,85.6
"18",324,"false",32443,41532,78.1
"19",523,"false",32109,39970,80.3
"20",834,"false",31692,37941,83.5
"21",825,"false",31655,45486,69.6
"22",522,"false",31043,44327,70
"23",412,"false",30988,37142,83.4
"24",331,"false",30958,38218,81
"25",1533,"false",30834,54148,56.9
"26",623,"false",30798,42511,72.4
"27",833,"false",30636,40062,76.5
"28",2512,"false",30442,38081,79.9
"29",122,"false",30071,42463,70.8
"30",1522,"false",30066,49835,60.3
"31",323,"false",29834,38016,78.5
"32",832,"false",29778,41305,72.1
"33",2533,"false",29718,49098,60.5
"34",513,"false",29659,41362,71.7
"35",2413,"false",29621,35831,82.7
"36",815,"false",29588,36951,80.1
"37",611,"false",29186,39201,74.5
"38",713,"false",29046,44151,65.8
"39",1424,"false",28935,33627,86
"40",2212,"false",28895,34384,84
"41",524,"false",28858,36968,78.1
"42",332,"false",28556,36081,79.1
"43",413,"false",28391,34488,82.3
"44",431,"false",28343,34995,81
"45",2534,"false",28224,40130,70.3
"46",424,"false",28052,37087,75.6
"47",712,"false",28048,41090,68.3
"48",533,"false",28020,36188,77.4
"49",1112,"false",27994,53998,51.8
"50",2521,"false",27564,36005,76.6
"51",613,"false",27360,35504,77.1
"52",1133,"false",27336,40712,67.1
"53",725,"false",27156,37884,71.7
"54",824,"false",26887,36462,73.7
"55",1723,"false",26820,35220,76.1
"56",2223,"false",26718,33073,80.8
"57",1011,"false",26564,44523,59.7
"58",312,"false",26468,41019,64.5
"59",123,"false",26382,35666,74
"60",132,"false",26210,36069,72.7
"61",432,"false",26203,32789,79.9
"62",111,"false",26164,34829,75.1
"63",1112,"true",26004,53998,48.2
"64",411,"false",25929,32758,79.2
"65",2532,"false",25568,35637,71.7
"66",1833,"false",25442,35803,71.1
"67",912,"false",25312,34442,73.5
"68",1434,"false",25276,30111,83.9
"69",2234,"false",25220,33454,75.4
"70",1712,"false",25211,30877,81.6
"71",1824,"false",25064,31738,79
"72",822,"false",25019,31987,78.2
"73",1121,"false",24960,43807,57
"74",1111,"false",24816,35053,70.8
"75",1122,"false",24766,43349,57.1
"76",1821,"false",24746,33120,74.7
"77",112,"false",24707,30255,81.7
"78",1633,"false",24540,30400,80.7
"79",2222,"false",24527,31787,77.2
"80",735,"false",24490,32995,74.2
"81",1532,"false",24479,43648,56.1
"82",2515,"false",24470,33220,73.7
"83",1622,"false",24452,28422,86
"84",322,"false",24319,31987,76
"85",723,"false",24223,33641,72
"86",733,"false",24153,33013,73.2
"87",614,"false",24093,30592,78.8
"88",711,"false",24083,33596,71.7
"89",2411,"false",24051,27391,87.8
"90",1924,"false",24037,30059,80
"91",2514,"false",24001,28981,82.8
"92",1132,"false",23763,40681,58.4
"93",334,"false",23756,29323,81
"94",313,"false",23734,35770,66.4
"95",1433,"false",23657,29359,80.6
"96",422,"false",23636,32511,72.7
"97",2232,"false",23598,30996,76.1
"98",2422,"false",23464,34629,67.8
"99",914,"false",23348,31513,74.1
"100",1533,"true",23314,54148,43.1
"101",1031,"false",23088,30023,76.9
"102",1211,"false",23016,30606,75.2
"103",1422,"false",23007,31930,72.1
"104",2433,"false",22915,28847,79.4
"105",1523,"false",22867,38368,59.6
"106",2412,"false",22719,27105,83.8
"107",2233,"false",22659,29056,78
"108",1531,"false",22600,42346,53.4
"109",1021,"false",22552,34417,65.5
"110",1923,"false",22493,27202,82.7
"111",1022,"false",22327,32791,68.1
"112",222,"false",22270,27420,81.2
"113",531,"false",22265,29966,74.3
"114",634,"false",22250,31660,70.3
"115",1524,"false",22218,35143,63.2
"116",1135,"false",22125,34423,64.3
"117",1732,"false",22110,27583,80.2
"118",1432,"false",22028,26624,82.7
"119",2432,"false",21908,28290,77.4
"120",1933,"false",21894,25188,86.9
"121",1623,"false",21860,26890,81.3
"122",1731,"false",21854,27186,80.4
"123",913,"false",21850,27803,78.6
"124",2535,"false",21830,35023,62.3
"125",131,"false",21768,29963,72.6
"126",1224,"false",21478,26295,81.7
"127",1511,"false",21144,28930,73.1
"128",915,"false",21094,28496,74
"129",731,"false",21057,27702,76
"130",1034,"false",21036,27870,75.5
"131",2011,"false",20999,25744,81.6
"132",2522,"false",20778,27820,74.7
"133",1013,"false",20731,28033,74
"134",1123,"false",20705,31604,65.5
"135",1822,"false",20668,31791,65
"136",433,"false",20614,25049,82.3
"137",811,"false",20573,24755,83.1
"138",2221,"false",20457,26062,78.5
"139",924,"false",20407,27654,73.8
"140",532,"false",20378,27909,73
"141",1722,"false",20362,25934,78.5
"142",722,"false",20340,25640,79.3
"143",314,"false",20298,24442,83
"144",2523,"false",20295,24949,81.3
"145",1014,"false",20199,28655,70.5
"146",1212,"false",20117,23279,86.4
