"","Primary.Type","Arrest","n"
"1","THEFT","false",1520467
"2","BATTERY","false",1152896
"3","CRIMINAL DAMAGE","false",860038
"4","NARCOTICS","true",749125
"5","ASSAULT","false",423085
"6","OTHER OFFENSE","false",414028
"7","BURGLARY","false",408098
"8","MOTOR VEHICLE THEFT","false",373239
"9","BATTERY","true",321351
"10","DECEPTIVE PRACTICE","false",318100
"11","ROBBERY","false",276431
"12","THEFT","true",187194
"13","CRIMINAL TRESPASS","true",151768
"14","ASSAULT","true",110473
"15","OTHER OFFENSE","true",88188
"16","WEAPONS VIOLATION","true",84309
"17","PROSTITUTION","true",69765
"18","CRIMINAL TRESPASS","false",67825
"19","CRIMINAL DAMAGE","true",60658
"20","DECEPTIVE PRACTICE","true",47092
"21","OFFENSE INVOLVING CHILDREN","false",46655
"22","PUBLIC PEACE VIOLATION","true",33443
"23","MOTOR VEHICLE THEFT","true",31800
"24","WEAPONS VIOLATION","false",31580
"25","ROBBERY","true",28091
"26","BURGLARY","true",24721
"27","SEX OFFENSE","false",23856
"28","CRIM SEXUAL ASSAULT","false",23101
"29","PUBLIC PEACE VIOLATION","false",19868
"30","INTERFERENCE WITH PUBLIC OFFICER","true",17489
"31","LIQUOR LAW VIOLATION","true",14981
"32","GAMBLING","true",14532
"33","ARSON","false",12125
"34","OFFENSE INVOLVING CHILDREN","true",11368
"35","SEX OFFENSE","true",8502
"36","CRIMINAL SEXUAL ASSAULT","false",8150
"37","HOMICIDE","false",6950
"38","KIDNAPPING","false",6578
"39","HOMICIDE","true",6288
"40","NARCOTICS","false",4911
"41","STALKING","false",4670
"42","CRIM SEXUAL ASSAULT","true",4376
"43","INTIMIDATION","false",4172
"44","ARSON","true",1714
"45","INTERFERENCE WITH PUBLIC OFFICER","false",1575
"46","CONCEALED CARRY LICENSE VIOLATION","true",1247
"47","KIDNAPPING","true",786
"48","INTIMIDATION","true",721
"49","STALKING","true",692
"50","OBSCENITY","true",670
"51","CRIMINAL SEXUAL ASSAULT","true",637
"52","PROSTITUTION","false",292
"53","OBSCENITY","false",204
"54","PUBLIC INDECENCY","true",200
"55","NON-CRIMINAL","false",171
"56","LIQUOR LAW VIOLATION","false",137
"57","GAMBLING","false",107
"58","OTHER NARCOTIC VIOLATION","true",102
"59","HUMAN TRAFFICKING","false",95
"60","CONCEALED CARRY LICENSE VIOLATION","false",48
"61","OTHER NARCOTIC VIOLATION","false",48
"62","NON - CRIMINAL","false",32
"63","RITUALISM","false",21
"64","NON-CRIMINAL","true",14
"65","HUMAN TRAFFICKING","true",12
"66","NON - CRIMINAL","true",6
"67","NON-CRIMINAL (SUBJECT SPECIFIED)","false",6
"68","NON-CRIMINAL (SUBJECT SPECIFIED)","true",3
"69","PUBLIC INDECENCY","false",3
"70","RITUALISM","true",3
"71","DOMESTIC VIOLENCE","true",1
