TSNE Component 1,TSNE Component 2,cluster,Beat
-18.28594,3.4069443,1,111
-18.208565,2.5129533,1,112
-19.129883,2.7303724,1,113
-19.969866,8.196133,4,122
-19.024397,6.5603223,4,123
-17.782494,1.8851247,1,124
-19.126968,4.7966986,1,131
-17.476938,7.144606,4,132
-12.677979,-8.648334,0,133
5.8829803,-4.929362,2,134
17.379305,-0.89315015,3,211
13.950295,-5.3467546,2,212
-4.065268,-7.769698,0,213
11.137613,-5.6951,0,214
12.395281,-5.001731,2,221
3.4225688,-5.8207893,0,222
-2.8797774,-2.9859233,0,223
3.5812266,-6.629847,0,224
-9.364955,-16.632366,0,225
6.3625216,-2.7759917,2,231
1.6770847,-3.7631185,0,232
6.882328,1.493484,2,233
1.0805905,-3.4180427,0,234
-7.700369,-16.195574,0,310
4.660979,-4.108393,0,311
11.098821,4.5674367,2,312
17.588634,-0.5216725,3,313
-3.3519032,-3.7238467,0,314
13.713605,5.878239,2,321
3.0675445,-0.38141894,2,322
2.0529346,6.8281827,2,323
12.865186,6.0886793,2,324
-0.569228,6.3766985,2,331
5.5603485,3.901899,2,332
-9.7821455,2.2962685,1,333
4.962232,4.1451244,2,334
-12.064216,7.124942,1,411
-1.9143498,7.6145597,1,412
0.7230061,4.7749405,2,413
12.932089,9.061188,2,414
14.764862,8.093551,2,421
7.741253,0.75884026,2,422
14.757005,8.411725,2,423
8.273311,3.906951,2,424
0.34113467,4.333656,2,431
-0.5625032,4.55066,2,432
-6.7282596,-4.300696,0,433
-3.430183,-7.150725,0,434
12.21132,8.57996,2,511
13.410684,6.7292986,2,512
12.09477,5.198682,2,513
14.660981,6.1094837,2,522
10.841269,6.1487904,2,523
9.655142,4.129573,2,524
4.983149,3.058345,2,531
5.2578773,0.55470616,2,532
15.440757,6.7619314,2,533
12.351071,1.9827737,2,611
11.418177,7.418046,2,612
2.2197225,5.028514,2,613
-0.92257285,2.446808,2,614
13.034519,5.342716,2,621
-16.235722,5.2445908,1,622
-11.578664,8.962176,1,623
12.731433,7.3541408,2,624
10.300977,7.5855827,2,631
-1.4481276,7.186641,1,632
-3.2422726,-4.7289395,0,633
-5.314771,6.0350275,1,634
11.737044,3.5327618,2,711
14.520738,4.978732,2,712
18.554306,-1.1132839,3,713
7.830328,-1.5342351,2,714
5.767399,-1.7594008,2,715
5.6035695,2.2102468,2,722
10.552641,4.967007,2,723
5.701118,-0.16518512,2,724
11.940095,5.79681,2,725
8.833456,0.45057824,2,726
5.746949,1.6152402,2,731
6.6939836,-1.1963817,2,732
9.089746,3.2125034,2,733
5.46524,-3.7190518,2,734
7.6901016,2.4953892,2,735
-8.349177,2.5044963,1,811
-7.121289,-4.3351135,0,812
-10.107526,8.640223,1,813
3.0601485,6.0625777,2,814
-8.7726965,7.7607203,1,815
-11.606369,0.14325218,1,821
-4.5135775,2.9422672,1,822
12.279041,9.234593,2,823
4.333779,6.7905235,2,824
12.365868,8.1513195,2,825
2.6704245,7.390767,2,831
13.366927,2.7883725,2,832
-17.982103,8.630679,4,833
-11.057235,7.952055,1,834
-1.9127045,6.955748,1,835
-5.512503,1.2661861,1,911
1.23696,8.224914,2,912
-3.6980393,2.4910378,1,913
-6.6587067,5.2133555,1,914
9.52767,2.1160154,2,915
-6.654701,-9.432892,0,921
-10.366894,3.438679,1,922
-6.7063155,0.8853044,1,923
0.43918926,2.3460102,2,924
-1.5376873,-9.516027,0,925
0.4714295,-4.2344046,0,931
9.767564,0.1055361,2,932
8.357838,-3.3642616,2,933
9.268605,-3.3421948,2,934
12.934206,-1.0607638,2,935
13.969229,-3.071695,2,1011
14.032332,-2.6933136,2,1012
1.8507568,-0.99448645,2,1013
10.425448,-3.9827402,2,1014
10.1104355,-1.1961149,2,1021
8.726688,1.661628,2,1022
2.3255095,-4.711838,0,1023
7.761439,-0.067916565,2,1024
-2.4666276,1.6462196,1,1031
-4.1191173,-8.321016,0,1032
-3.9123278,-1.8373857,0,1033
-5.901616,5.483263,1,1034
12.772182,0.8703864,2,1111
21.003704,-2.6567183,3,1112
11.8146,-4.1747384,2,1113
0.6233242,-9.2690525,0,1114
10.306912,-5.1917353,0,1115
19.868843,-2.9643164,3,1121
16.221483,-2.1991117,3,1122
13.772605,-1.987147,2,1123
11.200836,-4.286366,2,1124
15.203764,-4.8108087,3,1125
19.747766,-3.9513195,3,1131
13.084062,-3.4822602,2,1132
11.564063,-0.53763014,2,1133
0.7452438,0.1709735,1,1134
20.00586,-3.439956,3,1135
6.414127,7.494807,2,1211
-16.990768,3.0606916,1,1212
-13.940816,0.98834795,1,1213
-7.7804065,-15.531443,0,1214
-8.937071,-16.081917,0,1215
-0.120728,-3.757426,0,1222
0.5850483,-2.9098961,0,1223
-14.786473,4.374505,1,1224
-8.389654,-16.145935,0,1225
13.44752,-5.472314,2,1231
-7.6162887,-12.0494585,0,1232
-7.3288717,-8.652509,0,1233
-9.622146,-15.96929,0,1234
1.8011682,1.2093987,2,1311
-10.368828,-0.07458813,1,1312
-12.01131,0.987595,1,1313
-8.766145,-8.082442,0,1322
-14.874674,6.575796,1,1323
-9.799454,0.65758806,1,1324
2.5135393,-7.0324683,0,1331
-1.332482,-5.2317133,0,1332
-5.374494,-8.961929,0,1333
-6.2380023,-0.14365247,1,1411
-2.126833,2.8867376,1,1412
-1.2031405,-1.9777818,0,1413
-8.817876,-1.5886902,0,1414
2.8003662,4.815653,2,1421
10.1166,3.2703056,2,1422
11.698768,2.4320216,2,1423
-14.609621,7.0729275,1,1424
-10.795128,0.73392564,1,1431
-17.626637,5.707861,1,1432
-15.612235,9.217362,1,1433
-15.370378,8.678813,1,1434
10.917047,-2.7863538,2,1511
10.111878,-2.513476,2,1512
3.9635441,-5.558986,0,1513
17.953764,-1.9182986,3,1522
18.359184,-2.0102994,3,1523
16.802956,-2.2787755,3,1524
19.219734,-3.3033662,3,1531
19.59292,-2.6887429,3,1532
17.65149,-3.020741,3,1533
-9.384297,-10.845256,0,1611
-8.368306,-11.632414,0,1612
-8.81869,-11.176653,0,1613
-10.040768,-7.6632476,0,1614
-8.874853,-12.5538435,0,1621
-7.056429,2.1383727,1,1622
-7.5308123,0.97198373,1,1623
-7.462853,1.6181693,1,1624
-7.2231436,-6.281783,0,1631
-10.445004,-1.355539,1,1632
-9.907254,6.2230225,1,1633
-4.33406,0.08359545,0,1634
-19.799511,4.318032,1,1651
-12.39939,-1.0786006,1,1711
-10.707661,4.0470037,1,1712
-1.8980441,-3.5400586,0,1713
-11.529969,2.257777,1,1722
1.4973671,5.596879,2,1723
-5.8906627,-1.9622957,0,1724
-8.826884,5.031729,1,1731
-8.409755,5.188137,1,1732
-10.499649,1.410551,1,1733
-17.391804,4.1743145,1,1811
-15.612424,1.5524262,1,1812
-12.154548,-6.616087,0,1813
-16.387556,1.3840976,1,1814
-15.937978,6.5909505,1,1821
16.825607,-0.017819125,3,1822
16.470049,0.9160732,2,1823
-17.181469,6.8903947,1,1824
-18.520512,7.6495457,4,1831
-19.306078,3.2115924,1,1832
-19.309605,7.417175,4,1833
-20.091166,8.459916,4,1834
-9.619176,-9.94179,0,1911
-9.86301,-5.488502,0,1912
-2.9244714,5.133862,1,1913
-9.37674,-15.351661,0,1914
-8.103498,-16.780035,0,1915
-8.557788,-15.272085,0,1921
-10.80282,-6.6062236,0,1922
-14.035263,2.9114797,1,1923
-13.504909,1.7127314,1,1924
-8.758367,-16.911587,0,1925
-16.94595,3.7942784,1,1931
-16.086933,2.6538017,1,1932
-15.079281,3.125467,1,1933
-8.557788,-15.272085,0,1934
-8.310984,0.086104885,1,2011
-8.366336,-9.215682,0,2012
-10.262997,-6.7660747,0,2013
-6.4858313,-11.362128,0,2022
-10.784723,-8.344295,0,2023
-1.8798766,-8.593137,0,2024
-7.7969403,-9.34381,0,2031
-8.102766,-10.20381,0,2032
-2.515989,-9.527528,0,2033
-6.021579,-9.955997,0,2111
-0.2521923,-5.475204,0,2112
15.151196,-4.991476,2,2113
-14.2395735,4.71159,1,2122
3.9222841,3.1031098,2,2123
-3.3704104,-2.7061777,0,2124
-9.411633,-8.3063,0,2131
-14.77452,5.34543,1,2132
-12.517147,-8.076962,0,2133
-7.6861672,-0.19891764,1,2211
-10.416777,8.00871,1,2212
-8.614062,-0.9293139,0,2213
