year,district,crime_category,primary_type,neighborhood,count
2001,1,Property Crimes,THEFT,Douglas / Loop,7537
2001,2,Violent Crimes,BATTERY,Douglas / Englewood,5237
2001,3,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,5829
2001,4,Violent Crimes,BATTERY,Avalon Park / Burnside,5591
2001,5,Violent Crimes,BATTERY,Burnside / Pullman,5279
2001,6,Violent Crimes,BATTERY,Auburn Gresham / Chatham,5194
2001,7,Violent Crimes,BATTERY,Englewood / Grand Crossing,7625
2001,8,Property Crimes,THEFT,Archer Heights / Ashburn,6661
2001,9,Violent Crimes,BATTERY,Armour Square / Bridgeport,4648
2001,10,Violent Crimes,BATTERY,Little Village / Lower West Side,4555
2001,11,Drug Offenses,NARCOTICS,Austin / Garfield Park,7979
2001,12,Property Crimes,THEFT,East Village / Garfield Park,3074
2001,13,Property Crimes,THEFT,East Village / Garfield Park,2470
2001,14,Property Crimes,THEFT,Avondale / Bucktown,5465
2001,15,Drug Offenses,NARCOTICS,Austin,5941
2001,16,Property Crimes,THEFT,Dunning / Edison Park,3912
2001,17,Property Crimes,THEFT,Albany Park / Avondale,3399
2001,18,Property Crimes,THEFT,Lincoln Park / Magnificent Mile,8995
2001,19,Property Crimes,THEFT,Lake View / Lincoln Park,3918
2001,20,Property Crimes,THEFT,Andersonville / Edgewater,2201
2001,21,Property Crimes,THEFT,Chinatown / Douglas,3751
2001,22,Property Crimes,THEFT,Auburn Gresham / Beverly,2766
2001,23,Property Crimes,THEFT,Boystown / Lake View,2841
2001,24,Property Crimes,THEFT,Edgewater / Rogers Park,3270
2001,25,Property Crimes,THEFT,Austin / Avondale,5121
2002,1,Property Crimes,THEFT,Douglas / Loop,6997
2002,2,Violent Crimes,BATTERY,Douglas / Englewood,4561
2002,3,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,5671
2002,4,Violent Crimes,BATTERY,Avalon Park / Burnside,5695
2002,5,Violent Crimes,BATTERY,Burnside / Pullman,5622
2002,6,Violent Crimes,BATTERY,Auburn Gresham / Chatham,5376
2002,7,Violent Crimes,BATTERY,Englewood / Grand Crossing,8081
2002,8,Property Crimes,THEFT,Archer Heights / Ashburn,6577
2002,9,Violent Crimes,BATTERY,Armour Square / Bridgeport,4911
2002,10,Violent Crimes,BATTERY,Little Village / Lower West Side,4594
2002,11,Drug Offenses,NARCOTICS,Austin / Garfield Park,9236
2002,12,Property Crimes,THEFT,East Village / Garfield Park,3099
2002,13,Property Crimes,THEFT,East Village / Garfield Park,3165
2002,14,Property Crimes,THEFT,Avondale / Bucktown,5717
2002,15,Drug Offenses,NARCOTICS,Austin,5738
2002,16,Property Crimes,THEFT,Dunning / Edison Park,3962
2002,17,Property Crimes,THEFT,Albany Park / Avondale,3430
2002,18,Property Crimes,THEFT,Lincoln Park / Magnificent Mile,8781
2002,19,Property Crimes,THEFT,Lake View / Lincoln Park,4114
2002,20,Property Crimes,THEFT,Andersonville / Edgewater,2196
2002,21,Property Crimes,THEFT,Chinatown / Douglas,3084
2002,22,Property Crimes,THEFT,Auburn Gresham / Beverly,3028
2002,23,Property Crimes,THEFT,Boystown / Lake View,2883
2002,24,Property Crimes,THEFT,Edgewater / Rogers Park,3377
2002,25,Property Crimes,THEFT,Austin / Avondale,5206
2003,1,Property Crimes,THEFT,Douglas / Loop,6659
2003,2,Violent Crimes,BATTERY,Douglas / Englewood,3951
2003,3,Violent Crimes,BATTERY,Grand Crossing / Jackson Park,5402
2003,4,Violent Crimes,BATTERY,Avalon Park / Burnside,5335
2003,5,Violent Crimes,BATTERY,Burnside / Pullman,5281
2003,6,Violent Crimes,BATTERY,Auburn Gresham / Chatham,5107
2003,7,Violent Crimes,BATTERY,Englewood / Grand Crossing,7303
2003,8,Property Crimes,THEFT,Archer Heights / Ashburn,6445
2003,9,Violent Crimes,BATTERY,Armour Square / Bridgeport,4546
2003,10,Violent Crimes,BATTERY,Little Village / Lower West Side,4315
2003,11,Drug Offenses,NARCOTICS,Austin / Garfield Park,9562
2003,12,Property Crimes,THEFT,East Village / Garfield Park,3425
2003,13,Property Crimes,THEFT,East Village / Garfield Park,3407
2003,14,Property Crimes,THEFT,Avondale / Bucktown,5528
2003,15,Drug Offenses,NARCOTICS,Austin,6653
2003,16,Property Crimes,THEFT,Dunning / Edison Park,3891
