TSNE Component 1,TSNE Component 2,cluster,Beat
20.189075,-0.14604533,1,111
20.055231,-0.38125607,1,112
16.695196,1.9947774,3,113
18.031971,1.9582353,3,114
14.349584,4.490222,3,121
19.37676,0.8420223,1,122
18.808407,1.8071957,3,123
16.575804,2.4927752,3,124
7.696961,2.7588854,3,131
5.6111856,5.003705,4,132
3.4434893,-0.60126734,0,133
7.251378,4.359915,4,211
5.4835424,-5.3925934,0,212
-7.6082063,-1.0943563,0,213
1.9637017,4.722909,4,214
-9.41701,4.993316,4,215
-9.749875,2.8308175,0,221
10.270166,-0.99784863,3,222
0.5039178,2.515813,0,223
-10.736313,1.2960095,0,224
-7.8619328,1.8619901,0,225
-10.617599,-3.4295218,0,231
-11.147721,3.0468297,0,232
-4.598047,9.075934,4,233
11.365685,4.1190524,3,234
-4.1488914,13.038223,4,235
-8.492018,1.1302791,0,311
-2.20249,-13.775762,2,312
-4.472242,-3.194772,0,313
-3.4722679,0.4573573,0,314
0.87572366,-13.310943,2,321
-9.678285,-3.79843,0,322
-1.3054669,-11.866051,2,323
-0.10085625,-10.200092,0,324
-2.4332254,-11.278064,0,331
-0.7912083,-12.805192,2,332
-6.3174815,0.792133,0,333
-8.003293,-3.1708884,0,334
6.147093,-4.94445,0,411
-0.46105546,-8.048274,0,412
-2.2142186,-5.343285,0,413
1.8183869,-12.754896,2,414
2.9296858,-16.310951,2,421
-4.626254,-11.591399,0,422
2.8757048,-14.680304,2,423
-2.6735792,-12.991709,0,424
-0.35583282,-7.245379,0,431
-4.6382313,-7.31102,0,432
-1.6024903,-1.2851743,0,433
-8.854261,8.749477,4,434
3.4470615,-13.870881,2,511
-0.46392834,-12.035402,2,512
4.7723227,-10.91332,2,513
-4.138446,-11.526969,2,522
-1.5566688,-13.815965,2,523
-1.5811701,-8.594078,0,524
-6.8308434,-6.102005,0,531
-8.135801,-5.2304053,0,532
-1.6697042,-14.607339,2,533
-0.21039061,-13.291266,2,611
1.7072444,-15.052339,2,612
-5.5561166,-6.884677,0,613
-2.8802779,-7.059166,0,614
1.834638,-15.586878,2,621
14.692918,2.4515953,3,622
4.7148147,-10.434366,2,623
2.5710716,-15.420357,2,624
1.9282751,-14.378875,2,631
5.595539,-10.159737,3,632
-4.9646373,-2.3270562,0,633
-0.33191332,-0.5187891,0,634
-8.24803,-4.028572,0,711
-6.147887,-13.405089,2,712
-7.5994263,-13.623751,2,713
-10.342085,2.2660542,0,714
-10.408772,4.2311163,0,715
-10.771215,-0.52171826,0,722
-8.883794,-4.7524357,0,723
