month,district,neighborhood,specific_count,crime_category,total_count,crime_rate
April,1,Douglas / Loop,4602,Violent Crimes,199750,0.023038798498122653
April,2,Douglas / Englewood,8331,Violent Crimes,199750,0.04170713391739675
April,3,Grand Crossing / Jackson Park,12375,Violent Crimes,199750,0.06195244055068836
April,4,Avalon Park / Burnside,13018,Violent Crimes,199750,0.06517146433041301
April,5,Burnside / Pullman,11053,Violent Crimes,199750,0.05533416770963705
April,6,Auburn Gresham / Chatham,13621,Violent Crimes,199750,0.06819023779724656
April,7,Englewood / Grand Crossing,14964,Violent Crimes,199750,0.0749136420525657
April,8,Archer Heights / Ashburn,12630,Violent Crimes,199750,0.06322903629536922
April,9,Armour Square / Bridgeport,10085,Violent Crimes,199750,0.05048811013767209
April,10,Little Village / Lower West Side,10110,Violent Crimes,199750,0.05061326658322904
April,11,Austin / Garfield Park,13664,Violent Crimes,199750,0.0684055068836045
April,12,East Village / Garfield Park,5991,Violent Crimes,199750,0.029992490613266583
April,13,East Village / Garfield Park,2584,Violent Crimes,199750,0.012936170212765958
April,14,Avondale / Bucktown,6493,Violent Crimes,199750,0.03250563204005006
April,15,Austin,9960,Violent Crimes,199750,0.04986232790988736
April,16,Dunning / Edison Park,5002,Violent Crimes,199750,0.02504130162703379
April,17,Albany Park / Avondale,4796,Violent Crimes,199750,0.024010012515644556
April,18,Lincoln Park / Magnificent Mile,5761,Violent Crimes,199750,0.028841051314142677
April,19,Lake View / Lincoln Park,4180,Violent Crimes,199750,0.020926157697121403
April,20,Andersonville / Edgewater,3121,Violent Crimes,199750,0.015624530663329162
April,21,Chinatown / Douglas,2610,Violent Crimes,199750,0.013066332916145182
April,22,Auburn Gresham / Beverly,6469,Violent Crimes,199750,0.03238548185231539
April,23,Boystown / Lake View,1789,Violent Crimes,199750,0.00895619524405507
April,24,Edgewater / Rogers Park,5570,Violent Crimes,199750,0.02788485607008761
April,25,Austin / Avondale,10971,Violent Crimes,199750,0.054923654568210266
August,1,Douglas / Loop,5300,Violent Crimes,216563,0.024473247969413057
August,2,Douglas / Englewood,9081,Violent Crimes,216563,0.0419323707189132
August,3,Grand Crossing / Jackson Park,13257,Violent Crimes,216563,0.061215443081228095
August,4,Avalon Park / Burnside,13710,Violent Crimes,216563,0.06330721314351943
August,5,Burnside / Pullman,11534,Violent Crimes,216563,0.0532593286941906
August,6,Auburn Gresham / Chatham,14116,Violent Crimes,216563,0.06518195628985561
August,7,Englewood / Grand Crossing,16399,Violent Crimes,216563,0.0757239232925292
August,8,Archer Heights / Ashburn,13599,Violent Crimes,216563,0.06279466021434871
August,9,Armour Square / Bridgeport,10937,Violent Crimes,216563,0.050502625102164266
August,10,Little Village / Lower West Side,10878,Violent Crimes,216563,0.050230187058731175
August,11,Austin / Garfield Park,14913,Violent Crimes,216563,0.06886217867318055
August,12,East Village / Garfield Park,6548,Violent Crimes,216563,0.03023600522711636
August,13,East Village / Garfield Park,2732,Violent Crimes,216563,0.012615266689138958
August,14,Avondale / Bucktown,7230,Violent Crimes,216563,0.0333852043054446
August,15,Austin,10001,Violent Crimes,216563,0.04618055715888679
August,16,Dunning / Edison Park,5569,Violent Crimes,216563,0.025715380743709684
August,17,Albany Park / Avondale,5463,Violent Crimes,216563,0.025225915784321422
August,18,Lincoln Park / Magnificent Mile,6729,Violent Crimes,216563,0.0310717897332416
August,19,Lake View / Lincoln Park,5077,Violent Crimes,216563,0.02344352451711511
August,20,Andersonville / Edgewater,3515,Violent Crimes,216563,0.016230842757073
August,21,Chinatown / Douglas,2529,Violent Crimes,216563,0.011677895115970872
August,22,Auburn Gresham / Beverly,6656,Violent Crimes,216563,0.030734705374417606
August,23,Boystown / Lake View,2233,Violent Crimes,216563,0.010311087304848936
August,24,Edgewater / Rogers Park,6410,Violent Crimes,216563,0.02959877726112032
August,25,Austin / Avondale,12147,Violent Crimes,216563,0.05608991378952083
December,1,Douglas / Loop,4302,Violent Crimes,169617,0.025363023753515273
December,2,Douglas / Englewood,6933,Violent Crimes,169617,0.04087444065158563
December,3,Grand Crossing / Jackson Park,10340,Violent Crimes,169617,0.06096087066744489
December,4,Avalon Park / Burnside,11131,Violent Crimes,169617,0.06562431831714981
December,5,Burnside / Pullman,8804,Violent Crimes,169617,0.05190517459924418
December,6,Auburn Gresham / Chatham,11626,Violent Crimes,169617,0.06854265787037855
December,7,Englewood / Grand Crossing,11754,Violent Crimes,169617,0.06929729920939529
December,8,Archer Heights / Ashburn,10905,Violent Crimes,169617,0.0642919047029484
December,9,Armour Square / Bridgeport,8199,Violent Crimes,169617,0.04833831514529793
December,10,Little Village / Lower West Side,8290,Violent Crimes,169617,0.04887481797225514
December,11,Austin / Garfield Park,11205,Violent Crimes,169617,0.06606059534126886
December,12,East Village / Garfield Park,5633,Violent Crimes,169617,0.03321011455219701
December,13,East Village / Garfield Park,2028,Violent Crimes,169617,0.011956348715046252
December,14,Avondale / Bucktown,5581,Violent Crimes,169617,0.032903541508221466
December,15,Austin,8214,Violent Crimes,169617,0.04842674967721396
December,16,Dunning / Edison Park,4496,Violent Crimes,169617,0.0265067770329625
December,17,Albany Park / Avondale,4289,Violent Crimes,169617,0.025286380492521385
December,18,Lincoln Park / Magnificent Mile,5345,Violent Crimes,169617,0.03151217153940938
December,19,Lake View / Lincoln Park,3819,Violent Crimes,169617,0.022515431825819346
December,20,Andersonville / Edgewater,2833,Violent Crimes,169617,0.01670233526120613
December,21,Chinatown / Douglas,2139,Violent Crimes,169617,0.012610764251224819
December,22,Auburn Gresham / Beverly,5449,Violent Crimes,169617,0.03212531762736046
December,23,Boystown / Lake View,1512,Violent Crimes,169617,0.008914200817135075
December,24,Edgewater / Rogers Park,5024,Violent Crimes,169617,0.029619672556406493
December,25,Austin / Avondale,9766,Violent Crimes,169617,0.05757677591279176
February,1,Douglas / Loop,4016,Violent Crimes,160142,0.025077743502641407
February,2,Douglas / Englewood,6574,Violent Crimes,160142,0.04105106717787963
February,3,Grand Crossing / Jackson Park,9550,Violent Crimes,160142,0.059634574315295175
February,4,Avalon Park / Burnside,10540,Violent Crimes,160142,0.06581658777834672
February,5,Burnside / Pullman,8351,Violent Crimes,160142,0.05214746912115498
February,6,Auburn Gresham / Chatham,11020,Violent Crimes,160142,0.06881392763922019
February,7,Englewood / Grand Crossing,11097,Violent Crimes,160142,0.06929475090856864
February,8,Archer Heights / Ashburn,10276,Violent Crimes,160142,0.06416805085486631
February,9,Armour Square / Bridgeport,7735,Violent Crimes,160142,0.04830088296636735
February,10,Little Village / Lower West Side,7905,Violent Crimes,160142,0.04936244083376004
February,11,Austin / Garfield Park,10473,Violent Crimes,160142,0.06539820908943313
February,12,East Village / Garfield Park,5150,Violent Crimes,160142,0.03215895892395499
February,13,East Village / Garfield Park,2082,Violent Crimes,160142,0.013000961646538698
February,14,Avondale / Bucktown,5306,Violent Crimes,160142,0.03313309437873887
February,15,Austin,7657,Violent Crimes,160142,0.04781381523897541
February,16,Dunning / Edison Park,4235,Violent Crimes,160142,0.02644527981416493
February,17,Albany Park / Avondale,4290,Violent Crimes,160142,0.02678872500655668
February,18,Lincoln Park / Magnificent Mile,4929,Violent Crimes,160142,0.030778933696344494
February,19,Lake View / Lincoln Park,3463,Violent Crimes,160142,0.021624558204593424
February,20,Andersonville / Edgewater,2803,Violent Crimes,160142,0.017503215895892394
February,21,Chinatown / Douglas,2258,Violent Crimes,160142,0.014099986262192304
February,22,Auburn Gresham / Beverly,5215,Violent Crimes,160142,0.032564848696781605
February,23,Boystown / Lake View,1499,Violent Crimes,160142,0.009360442607186123
February,24,Edgewater / Rogers Park,4721,Violent Crimes,160142,0.029480086423299322
February,25,Austin / Avondale,8997,Violent Crimes,160142,0.056181389017247195
January,1,Douglas / Loop,4384,Violent Crimes,177138,0.024749065700188554
January,2,Douglas / Englewood,7540,Violent Crimes,177138,0.04256568325260531
January,3,Grand Crossing / Jackson Park,10975,Violent Crimes,177138,0.061957343991690096
January,4,Avalon Park / Burnside,11647,Violent Crimes,177138,0.06575099639828834
January,5,Burnside / Pullman,9189,Violent Crimes,177138,0.051874809470582255
January,6,Auburn Gresham / Chatham,12247,Violent Crimes,177138,0.06913818604703677
January,7,Englewood / Grand Crossing,12444,Violent Crimes,177138,0.07025031331504251
January,8,Archer Heights / Ashburn,11321,Violent Crimes,177138,0.0639106233558017
January,9,Armour Square / Bridgeport,8429,Violent Crimes,177138,0.04758436924883424
