"","District","Arrest","n","j","arrest_rate_district"
"1",8,"false",422382,542580,77.8
"2",4,"false",358106,458446,78.1
"3",6,"false",353578,472797,74.8
"4",25,"false",337101,458671,73.5
"5",7,"false",334841,462527,72.4
"6",12,"false",314269,403586,77.9
"7",3,"false",307765,409836,75.1
"8",11,"false",302148,516048,58.6
"9",19,"false",290477,365127,79.6
"10",9,"false",286637,393538,72.8
"11",2,"false",286077,383420,74.6
"12",18,"false",280842,364406,77.1
"13",5,"false",268409,356942,75.2
"14",14,"false",249572,312009,80
"15",1,"false",242963,331060,73.4
"16",10,"false",240196,347906,69
"17",16,"false",221550,271409,81.6
"18",11,"true",213900,516048,41.4
"19",15,"false",211163,343311,61.5
"20",22,"false",209862,264286,79.4
"21",24,"false",193052,245978,78.5
"22",17,"false",186398,233649,79.8
"23",15,"true",132148,343311,38.5
"24",7,"true",127686,462527,27.6
"25",25,"true",121570,458671,26.5
"26",8,"true",120198,542580,22.2
"27",6,"true",119219,472797,25.2
"28",20,"false",111972,144046,77.7
"29",10,"true",107710,347906,31
"30",9,"true",106901,393538,27.2
"31",3,"true",102071,409836,24.9
"32",4,"true",100340,458446,21.9
"33",2,"true",97343,383420,25.4
"34",12,"true",89317,403586,22.1
"35",5,"true",88533,356942,24.8
"36",1,"true",88097,331060,26.6
"37",18,"true",83564,364406,22.9
"38",19,"true",74650,365127,20.4
"39",14,"true",62437,312009,20
"40",22,"true",54424,264286,20.6
"41",24,"true",52926,245978,21.5
"42",16,"true",49859,271409,18.4
"43",17,"true",47251,233649,20.2
"44",20,"true",32074,144046,22.3
"45",31,"false",166,255,65.1
"46",31,"true",89,255,34.9
"47",NA,"false",34,47,72.3
"48",NA,"true",13,47,27.7
"49",21,"false",2,4,50
"50",21,"true",2,4,50
